# census 1 — the veto applied to the whole candidate population (PORT-M2-GOALPATH-V1)
era	veto	n_candidates	kept_frac	winner_rate	winner_rate_lift	wall_rate	mean_cert_usd	winner_usd_kept	winner_usd_forfeited
E2	NONE	175562	1	0.06408	1	0.44569	-42.55	1.9179e+07	0
E2	ONE_SIDED_K	75095	0.4277	0.04994	0.7793	0.41369	-36.6	5.91718e+06	1.32618e+07
E2	ONE_SIDED_2K	39368	0.2242	0.04953	0.773	0.39288	-3.61	3.07929e+06	1.60997e+07
E3	NONE	158282	1	0.05641	1	0.39143	-24.74	1.5404e+07	0
E3	ONE_SIDED_K	74460	0.4704	0.03764	0.6673	0.36692	-31.22	4.52163e+06	1.08824e+07
E3	ONE_SIDED_2K	41255	0.2606	0.03287	0.5827	0.35363	-15.52	2.16913e+06	1.32349e+07
E4	NONE	154742	1	0.0518	1	0.36276	-21.08	1.40623e+07	0
E4	ONE_SIDED_K	69663	0.4502	0.03243	0.6261	0.33404	-27.24	3.59522e+06	1.04671e+07
E4	ONE_SIDED_2K	37919	0.245	0.0303	0.585	0.31934	-8.43	1.7837e+06	1.22786e+07
E5	NONE	159055	1	0.04752	1	0.32397	-25.38	1.27848e+07	0
E5	ONE_SIDED_K	69659	0.438	0.02997	0.6308	0.29145	-20.46	3.24458e+06	9.54021e+06
E5	ONE_SIDED_2K	37609	0.2365	0.0281	0.5915	0.27956	-2.81	1.59099e+06	1.11938e+07
E6	NONE	169326	1	0.06024	1	0.41944	-32.51	1.92242e+07	0
E6	ONE_SIDED_K	69945	0.4131	0.04421	0.7338	0.37128	-30.17	5.11326e+06	1.4111e+07
E6	ONE_SIDED_2K	37295	0.2203	0.0418	0.6939	0.35195	-10.31	2.51268e+06	1.67116e+07
ALL	NONE	816967	1	0.05625	1	0.39033	-29.61	8.06544e+07	0
ALL	ONE_SIDED_K	358822	0.4392	0.03899	0.6933	0.35652	-29.28	2.23919e+07	5.82625e+07
ALL	ONE_SIDED_2K	193446	0.2368	0.03655	0.6498	0.34017	-8.23	1.11358e+07	6.95186e+07
