# the teacher's 15 sealed HAND takes, re-read from the committed matrix certificate, with the census-1 veto flag, the census-2 day-side call and the census-4 re-pricing (PORT-M2-GOALPATH-V1)
round	cid	status	asset	d8	dec_sec	side	klass	cert_close_usd	walled	d021_winner	one_sided_K	one_sided_2K	day_side_call	on_day_side	cont_DELAY_120|EXT|PHASE	cont_TREND_1800|SWING|TRAIL_1.0R	cont_TREND_3600|EXT|TRAIL_1.0R	cont_HOLD_300|EXT|TRAIL_1.0R
r1	HG-20240419-032439-L	OK	HG	20240419	32439	1	OPEN-DYNAMICS	351.25	0	0	0	0	1	1	-130	-23.75	-273.75	nan
r1	SI-20240419-047569-S	OK	SI	20240419	47569	-1	REVERSAL-CONFIRMATION	-930	1	0	0	0	-1	1	-555	nan	-317.5	-567.5
r1	HG-20240422-032440-L	OK	HG	20240422	32440	1	OPEN-DYNAMICS	782.5	0	0	1	0	-1	0	-473.75	-205	nan	-348.75
r1	SI-20240422-046875-S	OK	SI	20240422	46875	-1	OPEN-DYNAMICS	2545	0	1	1	1	1	0	2470	-230	95	320
r1	HG-20240423-012647-L	OK	HG	20240423	12647	1	REVERSAL-CONFIRMATION	-917.5	1	0	0	0	-1	0	-92.5	nan	nan	nan
r1	HG-20240423-047304-L	OK	HG	20240423	47304	1	REVERSAL-CONFIRMATION	145	0	0	1	1	-1	0	-98.75	nan	-142.5	nan
r1	SI-20240423-048526-L	OK	SI	20240423	48526	1	REVERSAL-CONFIRMATION	1870	0	1	0	0	-1	0	1920	-92.5	732.5	nan
r2	SI-20240424-007365-S	OK	SI	20240424	7365	-1	REVERSAL-CONFIRMATION	-930	1	0	1	0	-1	1	-242.5	-105	-142.5	7.5
r2	HG-20240425-011468-S	OK	HG	20240425	11468	-1	REVERSAL-CONFIRMATION	-930	1	0	0	0	1	0	-317.5	nan	nan	-330
r2	SI-20240426-056468-S	OK	SI	20240426	56468	-1	REVERSAL-CONFIRMATION	1157.5	0	0	0	0	-1	1	1057.5	970	295	nan
r2x	SI-20240429-050528-L	OK	SI	20240429	50528	1	REVERSAL-CONFIRMATION	-930	1	0	1	1	1	1	-405	nan	nan	-205
r2x	SI-20240430-051995-L	OK	SI	20240430	51995	1	REVERSAL-CONFIRMATION	-930	1	0	1	0	-1	0	-330	nan	nan	nan
r2x	HG-20240501-063226-S	OK	HG	20240501	63226	-1	REVERSAL-CONFIRMATION	-917.5	1	0	1	0	-1	1	-136.25	-48.75	-161.25	nan
r2x	SI-20240502-054126-L	OK	SI	20240502	54126	1	REVERSAL-CONFIRMATION	3082.5	0	1	0	0	-1	0	-92.5	-55	1045	nan
r2x	HG-20240503-058997-L	OK	HG	20240503	58997	1	REVERSAL-CONFIRMATION	1057.5	0	1	1	0	-1	0	1126.25	38.75	913.75	nan
