# PORT_M2_SHEETS_SPEC.md port m2 deficit ledger — orthogonal dollar decomposition of any scored judge's gap to the D-048/D-021 bars (spec_sha16=f6ef73a41dbf8588)
# params_hash=9fae0a685b6c9ab64f7a2a80f80e1707f19c2c4aca06d972368322da45ee13da
# THE-FIX-LIST: components ranked by recoverable $/session, with the named improvement type
# block A = fixed-contract ladder (additive); B = contract change, D-029 reserved; D = diagnostic
# standalone = the same repair applied ALONE from the judge's own takes (order-free)
rank	judge	component	improvement_type	block	usd_per_session	usd_total	share_of_block_A	standalone_usd_per_session	n_repairs	top_cell	top_cell_usd_per_session
1	m3_model_arm	RANKING_RESIDUAL	scoring/foresight	A	815.940000	2526952.710000	0.476600	2975.370000	0	E1|SI|rg1|ph2	9.500000
2	m3_model_arm	SEL_WRONG_MEMBER	ranking	A	757.790000	2346871.200000	0.442600	1636.090000	11414	E6|SI|rg2|ph2	13.530000
3	m3_model_arm	EXIT	exit-contract (D-029)	B	245.500000	760310.000000	0.143400			E7|HG|rg0|ph0	7.950000
4	m3_model_arm	SEL_WRONG_SIDE	validity	A	131.620000	407632.410000	0.076900	254.870000	1060	E1|SI|rg1|ph2	5.230000
5	m3_model_arm	OPPORTUNITY	generation/coverage	A	84.630000	262106.250000	0.049400			E5|HG|ALL	11.680000
6	m3_model_arm	RISK	stop-structure (D-029)	B	55.610000	172220.000000	0.032500			E1|SI|rg1|ph2	3.620000
7	m3_model_arm	SEL_WRONG_MOMENT	moment	A	20.960000	64920.510000	0.012200	36.620000	1864	E1|SI|rg1|ph2	1.190000
8	m3_model_arm	CALIBRATION	threshold	D	0.000000	0.000000	0.000000				
9	m3_model_arm	PARTICIPATION	throughput/abstention	A	-98.950000	-306444.330000	-0.057800	0.000000	631203	E6|HG|rg2|ph1	1.220000
1	teacher_pooled_15	RANKING_RESIDUAL	scoring/foresight	A	1082.320000	35716.640000	0.565800	3668.900000	0	E6|NKD|rg2|ph2	246.490000
2	teacher_pooled_15	PARTICIPATION	throughput/abstention	A	424.720000	14015.660000	0.222000	764.700000	0	E6|NKD|rg2|ph2	74.750000
3	teacher_pooled_15	SEL_WRONG_MEMBER	ranking	A	248.290000	8193.540000	0.129800	662.650000	14	E6|SI|rg2|ph2	103.500000
4	teacher_pooled_15	SEL_WRONG_SIDE	validity	A	146.490000	4834.300000	0.076600	247.920000	3	E6|HG|rg2|ph0	101.300000
5	teacher_pooled_15	RISK	stop-structure (D-029)	B	90.910000	3000.000000	0.047500			E6|SI|rg2|ph2	54.550000
6	teacher_pooled_15	EXIT	exit-contract (D-029)	B	58.330000	1925.000000	0.030500			E6|HG|rg2|ph2	32.580000
7	teacher_pooled_15	SEL_WRONG_MOMENT	moment	A	5.940000	196.110000	0.003100	8.330000	3	E6|HG|rg2|ph2	3.280000
8	teacher_pooled_15	OPPORTUNITY	generation/coverage	A	5.000000	165.000000	0.002600			E6|HG|ALL	5.000000
1	goalpath_gate	RANKING_RESIDUAL	scoring/foresight	A	1095.430000	1693529.420000	0.540100	2924.250000	0	E5|HG|rg1|ph2	29.140000
2	goalpath_gate	SEL_WRONG_MEMBER	ranking	A	548.270000	847629.540000	0.270300	1449.810000	13833	E4|SI|rg0|ph2	18.080000
3	goalpath_gate	SEL_WRONG_MOMENT	moment	A	174.420000	269660.510000	0.086000	409.220000	10377	E5|SI|rg1|ph2	16.280000
4	goalpath_gate	SEL_WRONG_SIDE	validity	A	150.840000	233201.840000	0.074400	236.040000	1466	E5|SI|rg1|ph2	12.860000
5	goalpath_gate	OPPORTUNITY	generation/coverage	A	117.600000	181816.250000	0.058000			E5|HG|ALL	23.390000
6	goalpath_gate	CALIBRATION	threshold	D	36.910000	57061.250000	0.018200				
7	goalpath_gate	PARTICIPATION	throughput/abstention	A	-58.550000	-90513.810000	-0.028900	-34.030000	23131	E6|SI|rg1|ph2	1.030000
1	FIXTURE_oracle	OPPORTUNITY	generation/coverage	A	84.630000	262106.250000	1.000000			E5|HG|ALL	11.680000
2	FIXTURE_oracle	EXIT	exit-contract (D-029)	B	9.490000	29377.500000	0.112100			E6|HG|rg2|ph0	1.280000
3	FIXTURE_oracle	RISK	stop-structure (D-029)	B	0.000000	0.000000	0.000000			E1|HG|rg0|ph0	0.000000
1	FIXTURE_random	RANKING_RESIDUAL	scoring/foresight	A	899.970000	2787198.670000	0.416200	3407.360000	0	E6|SI|rg2|ph2	11.000000
2	FIXTURE_random	SEL_WRONG_MEMBER	ranking	A	823.790000	2551291.760000	0.381000	2037.040000	9155	E6|SI|rg2|ph2	13.260000
3	FIXTURE_random	SEL_WRONG_SIDE	validity	A	416.560000	1290083.330000	0.192700	649.610000	1557	E6|SI|rg2|ph2	8.630000
4	FIXTURE_random	EXIT	exit-contract (D-029)	B	244.240000	756425.000000	0.113000			E2|SI|rg0|ph0	6.660000
5	FIXTURE_random	RISK	stop-structure (D-029)	B	175.850000	544611.250000	0.081300			E6|SI|rg2|ph2	5.710000
6	FIXTURE_random	OPPORTUNITY	generation/coverage	A	84.630000	262106.250000	0.039100			E5|HG|ALL	11.680000
7	FIXTURE_random	SEL_WRONG_MOMENT	moment	A	73.450000	227477.850000	0.034000	129.940000	3100	E5|SI|rg1|ph2	2.040000
8	FIXTURE_random	CALIBRATION	threshold	D	69.900000	216490.000000	0.032300				
9	FIXTURE_random	PARTICIPATION	throughput/abstention	A	-136.170000	-421712.870000	-0.063000	0.000000	441610	E6|HG|rg2|ph1	1.390000
