# census 3 — the (class x phase x vol-regime) cells (PORT-M2-GOALPATH-V1)
era	klass	phase	vol_regime	n	winner_rate	mean_cert_usd	n_selected	precision_at_selection	usd_per_take_at_selection
E6	OPEN-DYNAMICS	LONDON	2	294	0.04762	36.22	0	nan	nan
E6	OPEN-DYNAMICS	NY	0	458	0.08515	-24.56	0	nan	nan
E6	OPEN-DYNAMICS	NY	1	485	0.07835	-25.37	3	0	-388.33
E6	OPEN-DYNAMICS	NY	2	1197	0.09273	-56.58	7	0	348.57
E6	REVERSAL-CONFIRMATION	TOKYO	0	11427	0.05715	-35.31	101	0.0495	-83.96
E6	REVERSAL-CONFIRMATION	TOKYO	1	15588	0.0503	-39.57	80	0	24.69
E6	REVERSAL-CONFIRMATION	TOKYO	2	22109	0.05382	-61.43	101	0.0396	-30.19
E6	REVERSAL-CONFIRMATION	LONDON	0	5063	0.00533	-32.63	30	0	-29.17
E6	REVERSAL-CONFIRMATION	LONDON	1	6610	0.01498	-40.98	61	0.0164	93.05
E6	REVERSAL-CONFIRMATION	LONDON	2	11132	0.02695	-28.02	88	0.0227	8.71
E6	REVERSAL-CONFIRMATION	NY	0	17183	0.0625	-32.51	143	0.042	141.9
E6	REVERSAL-CONFIRMATION	NY	1	17280	0.05145	-49.36	141	0.0426	139.95
E6	REVERSAL-CONFIRMATION	NY	2	45284	0.08246	-9.34	316	0.0633	80.19
E6	RECLAIM	TOKYO	0	274	0.06934	38.54	0	nan	nan
E6	RECLAIM	TOKYO	1	348	0.06322	-23.3	2	0	363.75
E6	RECLAIM	TOKYO	2	505	0.05347	-12.91	5	0.2	433.75
E6	RECLAIM	LONDON	0	145	0.0069	48.36	2	0	-101.88
E6	RECLAIM	LONDON	1	267	0	-85.48	2	0	-89.38
E6	RECLAIM	LONDON	2	409	0.03423	2.4	3	0	63.75
E6	RECLAIM	NY	0	984	0.07825	-23.53	9	0.2222	667.22
E6	RECLAIM	NY	1	1056	0.08333	63.65	11	0	-48.18
E6	RECLAIM	NY	2	2435	0.10349	-27.43	25	0.2	387.75
