# ROUND-2 SEALED BLIND LEDGER 20240430 (E6R2X-BLIND-D2) — hand channel ONLY (R2-9: the rubric never seats)
# every TAKE carries a decision_journal entry written BEFORE the call and a RIBBON_ACCESS row for the window it read
ep	asset	sec	side	call	p	src	compl	why
SI-20240430-S-E01	SI	00:00	S	SKIP	0.000	-	-	-
HG-20240430-S-E01	HG	00:02	S	SKIP	0.000	-	-	-
NKD-20240430-S-E01	NKD	00:03	S	SKIP	0.000	-	-	-
NKD-20240430-S-E02	NKD	00:15	S	SKIP	0.000	-	-	-
SI-20240430-S-E02	SI	00:19	S	SKIP	0.000	-	-	-
HG-20240430-S-E02	HG	00:29	S	SKIP	0.000	-	-	-
SI-20240430-S-E03	SI	00:34	S	SKIP	0.000	-	-	-
SI-20240430-S-E04	SI	00:39	S	SKIP	0.000	-	-	-
HG-20240430-S-E03	HG	00:39	S	SKIP	0.000	-	-	-
SI-20240430-L-E01	SI	00:46	L	SKIP	0.000	-	-	-
SI-20240430-L-E02	SI	00:58	L	SKIP	0.000	-	-	-
NKD-20240430-S-E03	NKD	01:03	S	SKIP	0.000	-	-	-
SI-20240430-S-E05	SI	01:07	S	SKIP	0.000	-	-	-
SI-20240430-L-E03	SI	01:11	L	SKIP	0.000	-	-	-
NKD-20240430-L-E01	NKD	01:12	L	SKIP	0.000	-	-	-
SI-20240430-L-E04	SI	01:15	L	SKIP	0.000	-	-	-
NKD-20240430-L-E02	NKD	01:18	L	SKIP	0.000	-	-	-
NKD-20240430-S-E04	NKD	01:32	S	SKIP	0.000	-	-	-
NKD-20240430-L-E03	NKD	01:34	L	SKIP	0.000	-	-	-
NKD-20240430-L-E04	NKD	01:42	L	SKIP	0.000	-	-	-
SI-20240430-S-E06	SI	01:46	S	SKIP	0.000	-	-	-
NKD-20240430-S-E05	NKD	01:47	S	SKIP	0.000	-	-	-
NKD-20240430-L-E05	NKD	01:47	L	SKIP	0.000	-	-	-
HG-20240430-L-E01	HG	01:49	L	SKIP	0.000	-	-	-
NKD-20240430-L-E06	NKD	01:50	L	SKIP	0.000	-	-	-
NKD-20240430-S-E06	NKD	01:53	S	SKIP	0.000	-	-	-
NKD-20240430-L-E07	NKD	01:57	L	SKIP	0.000	-	-	-
NKD-20240430-S-E07	NKD	01:59	S	SKIP	0.000	-	-	-
NKD-20240430-L-E08	NKD	02:01	L	SKIP	0.000	-	-	-
NKD-20240430-S-E08	NKD	02:02	S	SKIP	0.000	-	-	-
HG-20240430-S-E04	HG	02:02	S	SKIP	0.000	-	-	-
NKD-20240430-L-E09	NKD	02:04	L	SKIP	0.000	-	-	-
SI-20240430-S-E07	SI	02:05	S	SKIP	0.000	-	-	-
NKD-20240430-S-E09	NKD	02:05	S	SKIP	0.000	-	-	-
NKD-20240430-L-E10	NKD	02:06	L	SKIP	0.000	-	-	-
NKD-20240430-S-E10	NKD	02:08	S	SKIP	0.000	-	-	-
NKD-20240430-L-E11	NKD	02:10	L	SKIP	0.000	-	-	-
NKD-20240430-L-E12	NKD	02:16	L	SKIP	0.000	-	-	-
NKD-20240430-S-E11	NKD	02:18	S	SKIP	0.000	-	-	-
HG-20240430-L-E02	HG	02:19	L	SKIP	0.000	-	-	-
NKD-20240430-S-E12	NKD	02:21	S	SKIP	0.000	-	-	-
NKD-20240430-L-E13	NKD	02:21	L	SKIP	0.000	-	-	-
HG-20240430-L-E03	HG	02:25	L	SKIP	0.000	-	-	-
NKD-20240430-S-E13	NKD	02:26	S	SKIP	0.000	-	-	-
NKD-20240430-L-E14	NKD	02:28	L	SKIP	0.000	-	-	-
NKD-20240430-S-E14	NKD	02:31	S	SKIP	0.000	-	-	-
NKD-20240430-L-E15	NKD	02:36	L	SKIP	0.000	-	-	-
SI-20240430-L-E05	SI	02:37	L	SKIP	0.000	-	-	-
HG-20240430-S-E05	HG	02:40	S	SKIP	0.000	-	-	-
NKD-20240430-S-E15	NKD	02:45	S	SKIP	0.000	-	-	-
SI-20240430-L-E06	SI	02:45	L	SKIP	0.000	-	-	-
NKD-20240430-L-E16	NKD	02:47	L	SKIP	0.000	-	-	-
HG-20240430-S-E06	HG	02:48	S	SKIP	0.000	-	-	-
SI-20240430-S-E08	SI	02:51	S	SKIP	0.000	-	-	-
NKD-20240430-S-E16	NKD	02:57	S	SKIP	0.000	-	-	-
HG-20240430-L-E04	HG	03:00	L	SKIP	0.000	-	-	-
SI-20240430-L-E07	SI	03:01	L	SKIP	0.000	-	-	-
HG-20240430-S-E07	HG	03:02	S	SKIP	0.000	-	-	-
SI-20240430-S-E09	SI	03:02	S	SKIP	0.000	-	-	-
HG-20240430-L-E05	HG	03:02	L	SKIP	0.000	-	-	-
NKD-20240430-L-E17	NKD	03:04	L	SKIP	0.000	-	-	-
HG-20240430-S-E08	HG	03:05	S	SKIP	0.000	-	-	-
SI-20240430-S-E10	SI	03:07	S	SKIP	0.000	-	-	-
HG-20240430-S-E09	HG	03:10	S	SKIP	0.000	-	-	-
SI-20240430-S-E11	SI	03:10	S	SKIP	0.000	-	-	-
HG-20240430-S-E10	HG	03:13	S	SKIP	0.000	-	-	-
SI-20240430-S-E12	SI	03:13	S	SKIP	0.000	-	-	-
NKD-20240430-S-E17	NKD	03:15	S	SKIP	0.000	-	-	-
SI-20240430-L-E08	SI	03:15	L	SKIP	0.000	-	-	-
HG-20240430-L-E06	HG	03:15	L	SKIP	0.000	-	-	-
HG-20240430-L-E07	HG	03:18	L	SKIP	0.000	-	-	-
SI-20240430-S-E13	SI	03:21	S	SKIP	0.000	-	-	-
HG-20240430-S-E11	HG	03:23	S	SKIP	0.000	-	-	-
NKD-20240430-L-E18	NKD	03:24	L	SKIP	0.000	-	-	-
SI-20240430-L-E09	SI	03:24	L	SKIP	0.000	-	-	-
HG-20240430-L-E08	HG	03:24	L	SKIP	0.000	-	-	-
HG-20240430-S-E12	HG	03:25	S	SKIP	0.000	-	-	-
HG-20240430-L-E09	HG	03:30	L	SKIP	0.000	-	-	-
NKD-20240430-L-E19	NKD	03:30	L	SKIP	0.000	-	-	-
SI-20240430-S-E14	SI	03:32	S	SKIP	0.000	-	-	-
HG-20240430-S-E13	HG	03:32	S	SKIP	0.000	-	-	-
HG-20240430-L-E10	HG	03:33	L	SKIP	0.000	-	-	-
NKD-20240430-L-E20	NKD	03:34	L	SKIP	0.000	-	-	-
NKD-20240430-S-E18	NKD	03:34	S	SKIP	0.000	-	-	-
HG-20240430-S-E14	HG	03:38	S	SKIP	0.000	-	-	-
HG-20240430-L-E11	HG	03:41	L	SKIP	0.000	-	-	-
SI-20240430-L-E10	SI	03:43	L	SKIP	0.000	-	-	-
SI-20240430-L-E11	SI	03:49	L	SKIP	0.000	-	-	-
HG-20240430-S-E15	HG	03:50	S	SKIP	0.000	-	-	-
HG-20240430-L-E12	HG	03:52	L	SKIP	0.000	-	-	-
HG-20240430-S-E16	HG	03:55	S	SKIP	0.000	-	-	-
SI-20240430-S-E15	SI	03:55	S	SKIP	0.000	-	-	-
NKD-20240430-S-E19	NKD	03:56	S	SKIP	0.000	-	-	-
HG-20240430-L-E13	HG	03:57	L	SKIP	0.000	-	-	-
NKD-20240430-S-E20	NKD	03:59	S	SKIP	0.000	-	-	-
SI-20240430-S-E16	SI	04:00	S	SKIP	0.000	-	-	-
HG-20240430-S-E17	HG	04:02	S	SKIP	0.000	-	-	-
NKD-20240430-S-E21	NKD	04:03	S	SKIP	0.000	-	-	-
HG-20240430-L-E14	HG	04:06	L	SKIP	0.000	-	-	-
NKD-20240430-L-E21	NKD	04:07	L	SKIP	0.000	-	-	-
HG-20240430-L-E15	HG	04:08	L	SKIP	0.000	-	-	-
SI-20240430-L-E12	SI	04:08	L	SKIP	0.000	-	-	-
NKD-20240430-S-E22	NKD	04:11	S	SKIP	0.000	-	-	-
SI-20240430-S-E17	SI	04:13	S	SKIP	0.000	-	-	-
HG-20240430-S-E18	HG	04:14	S	SKIP	0.000	-	-	-
HG-20240430-L-E16	HG	04:16	L	SKIP	0.000	-	-	-
SI-20240430-L-E13	SI	04:19	L	SKIP	0.000	-	-	-
HG-20240430-L-E17	HG	04:19	L	SKIP	0.000	-	-	-
HG-20240430-L-E18	HG	04:22	L	SKIP	0.000	-	-	-
NKD-20240430-L-E22	NKD	04:25	L	SKIP	0.000	-	-	-
NKD-20240430-S-E23	NKD	04:26	S	SKIP	0.000	-	-	-
HG-20240430-S-E19	HG	04:28	S	SKIP	0.000	-	-	-
SI-20240430-S-E18	SI	04:32	S	SKIP	0.000	-	-	-
HG-20240430-L-E19	HG	04:35	L	SKIP	0.000	-	-	-
SI-20240430-L-E14	SI	04:36	L	SKIP	0.000	-	-	-
SI-20240430-S-E19	SI	04:38	S	SKIP	0.000	-	-	-
NKD-20240430-L-E23	NKD	04:38	L	SKIP	0.000	-	-	-
HG-20240430-S-E20	HG	04:39	S	SKIP	0.000	-	-	-
NKD-20240430-S-E24	NKD	04:41	S	SKIP	0.000	-	-	-
SI-20240430-L-E15	SI	04:41	L	SKIP	0.000	-	-	-
HG-20240430-L-E20	HG	04:42	L	SKIP	0.000	-	-	-
HG-20240430-L-E21	HG	04:45	L	SKIP	0.000	-	-	-
HG-20240430-S-E21	HG	04:50	S	SKIP	0.000	-	-	-
HG-20240430-S-E22	HG	04:52	S	SKIP	0.000	-	-	-
HG-20240430-L-E22	HG	04:53	L	SKIP	0.000	-	-	-
SI-20240430-L-E16	SI	04:54	L	SKIP	0.000	-	-	-
HG-20240430-S-E23	HG	05:04	S	SKIP	0.000	-	-	-
