# PORT M2 M2.SEQ raw-event sequence model at candidate grain (lane=port-m2-seqtest; seed=20260813; device=NVIDIA RTX PRO 6000 Blackwell Workstation Edition)
# THE ALL-YEARS CRITERION: every (era, asset) cell must clear $2,000/session, or the D-043/D-045 thin-era floor of $1,500 where the era's own ceiling is thin.
# `mean_day_ceiling` and `realised_over_ceiling` are carried so 'thin' is evidenced, not asserted.
# 0/15 cells clear $2,000; 0/15 clear $1,500.
era	asset	n_sessions	usd_per_session	ps_lo	ps_hi	usd_per_trade	frac_ge_1000	mean_day_ceiling	realised_over_ceiling	clears_2000	clears_1500	p90_dd_usd	frac_dd_over_1000
E3	SI	130	81.38	-163.16	325.93	26.52	0.1103	3722.88	0.0219	0	0	1860.0	0.3
E3	HG	130	-280.57	-474.49	-86.64	-90.96	0.0499	2996.97	-0.0936	0	0	1860.0	0.4077
E3	NKD	130	-176.04	-346.3	-5.77	-57.64	0.0353	2338.27	-0.0753	0	0	1594.5	0.2769
E4	SI	128	-310.02	-520.86	-99.18	-103.34	0.0365	3428.16	-0.0904	0	0	1869.0	0.375
E4	HG	128	170.79	-8.98	350.56	56.93	0.0547	2491.79	0.0685	0	0	1216.87	0.2188
E4	NKD	129	-55.12	-216.85	106.62	-18.37	0.0439	2350.64	-0.0234	0	0	1231.5	0.2093
E5	SI	129	-109.77	-284.54	65.01	-36.59	0.0388	2968.0	-0.037	0	0	1341.5	0.2326
E5	HG	129	-38.26	-168.22	91.71	-12.75	0.0207	1936.26	-0.0198	0	0	1053.75	0.124
E5	NKD	129	-127.98	-315.54	59.57	-42.66	0.0672	2869.79	-0.0446	0	0	1582.5	0.2791
E6	SI	128	-5.92	-287.21	275.38	-1.97	0.0938	4209.1	-0.0014	0	0	2013.75	0.375
E6	HG	128	-260.65	-405.37	-115.93	-86.88	0.0365	2528.87	-0.1031	0	0	1349.37	0.2422
E6	NKD	128	-44.06	-299.05	210.92	-14.73	0.0992	3404.63	-0.0129	0	0	1856.25	0.3516
E7	SI	131	1.32	-298.53	301.17	0.44	0.1145	4731.79	0.0003	0	0	1915.0	0.4198
E7	HG	131	-169.15	-331.66	-6.64	-56.38	0.0509	2614.9	-0.0647	0	0	1408.75	0.2366
E7	NKD	131	-253.55	-530.86	23.76	-84.52	0.0992	4958.0	-0.0511	0	0	2165.0	0.4351
