# PORT_M2_SHEETS_SPEC.md design/CREATOR_MECHANICS.md — creator-PDF mechanics census (spec_sha16=f6ef73a41dbf8588)
# params_hash=ea420c1fb1e2c4c03569cad8e0455c9de94c69195f7bc32d7b5ed5669c9ade12
# holm family size m=594 (MAIN+STRATA+LEDGER)
# base_rate = D-021 y_winner over E2..E6 non-refused rows
# population n=816967, winners=45953
detector	mechanic	fidelity	n	n_fire	freq	hit_rate	base_rate	lift	lift_lo95	lift_hi95	conc_ratio	cond_close_usd	cond_close_lo95	cond_close_hi95	cond_peak_usd	base_close_usd	delta_pp	z_cluster	p_cluster	null_shuffle_lift	null_shuffle_sd	null_informative_groups	null_displaced_lift	lift_vs_null	z_vs_null	p_vs_null	destruction	verdict	holm_rank	holm_threshold	holm_verdict	p_holm
DIV_BOX_350	M-28	EXACT	816967	13676	0.016740	0.036707	0.056248	0.652582	0.568942	0.736062	0.648745	-45.268079	-57.703589	-33.150473	736.915582	-29.607481	-1.987435	-8.008165	0.000000	0.918328	0.035262	1776	0.831182	0.710620	-7.536285	0.000000	SURVIVES	VETO RULE	84	0.000098	HOLM_SIGNIFICANT	0.000000
PASSIVE_MOVE	M-29 (the trap)	EXACT	816967	3560	0.004358	0.103371	0.056248	1.837759	1.372276	2.331540	1.844522	10.783006	-101.971605	143.570568	1006.160463	-29.607481	4.732873	3.390629	0.000697	1.228627	0.063436	601	1.769349	1.495783	9.602297	0.000000	SURVIVES	ENTRY RULE	52	0.000092	HOLM_SIGNIFICANT	0.000000
TWO_STAGE	M-29 (what he wants)	EXACT	816967	137616	0.168447	0.076234	0.056248	1.355310	1.292318	1.415254	1.460424	-16.960728	-33.312324	0.794258	801.413362	-29.607481	2.403405	10.957668	0.000000	1.137247	0.012009	1736	1.317626	1.191746	18.158645	0.000000	SURVIVES	ENTRY RULE	23	0.000087	HOLM_SIGNIFICANT	0.000000
BOTH_ABSORBED	M-30	EXACT	816967	210561	0.257735	0.064898	0.056248	1.153778	1.114592	1.192037	1.218861	-24.477521	-34.282647	-13.321639	751.754129	-29.607481	1.165320	7.670410	0.000000	1.041225	0.007794	1888	1.145613	1.108097	14.440849	0.000000	SURVIVES	ENTRY RULE	33	0.000089	HOLM_SIGNIFICANT	0.000000
CVD_WITH	M-08	EXACT	816967	399707	0.489257	0.054002	0.056248	0.960066	0.910505	1.010663	0.924692	-46.257455	-64.323818	-28.265161	783.204844	-29.607481	-0.439798	-1.551168	0.120861	0.998809	0.004859	1930	0.959915	0.961211	-7.973383	0.000000	SURVIVES	NULL	72	0.000096	HOLM_SIGNIFICANT	0.000000
CVD_AGAINST	M-08 (the veto)	EXACT	816967	417070	0.510510	0.058388	0.056248	1.038045	0.989055	1.086871	1.080936	-13.673754	-30.083121	3.461930	822.162677	-29.607481	0.437187	1.541766	0.123130	1.001602	0.003990	1930	1.035103	1.036385	9.133166	0.000000	SURVIVES	NULL	58	0.000093	HOLM_SIGNIFICANT	0.000000
EXTREME_ABSORPTION	M-41	EXACT	816967	23007	0.028161	0.082019	0.056248	1.458151	1.254500	1.663550	1.477770	15.474475	-43.314910	75.036994	870.145608	-29.607481	2.651698	4.154899	0.000033	1.229769	0.027327	1739	1.349663	1.185711	8.357368	0.000000	SURVIVES	ENTRY RULE	65	0.000094	HOLM_SIGNIFICANT	0.000000
TAPE_SPIKE	M-07	EXACT	816967	217258	0.265932	0.082239	0.056248	1.462064	1.414533	1.507790	1.756008	-15.527921	-30.214643	0.333900	860.666914	-29.607481	3.540591	17.230185	0.000000	1.107681	0.006559	1930	1.409325	1.319932	54.034000	0.000000	SURVIVES	ENTRY RULE	1	0.000084	HOLM_SIGNIFICANT	0.000000
TAPE_DEAD	M-07	EXACT	816967	96875	0.118579	0.034147	0.056248	0.607078	0.563933	0.654425	0.576599	-43.012710	-48.643593	-35.951386	725.700065	-29.607481	-2.507450	-15.261556	0.000000	0.932235	0.010648	1930	0.793674	0.651207	-30.538222	0.000000	SURVIVES	VETO RULE	5	0.000085	HOLM_SIGNIFICANT	0.000000
TOUCH_1_VIRGIN	M-86/M-81	EXACT	816967	108330	0.132600	0.057057	0.056248	1.014380	0.954920	1.068398	1.016615	-21.617857	-34.080815	-8.828986	801.910424	-29.607481	0.093250	0.490685	0.623649	1.041980	0.010058	1890	0.997181	0.973512	-2.744038	0.006069	INVERTED	NULL	266	0.000152	HOLM_NOT_SIGNIFICANT	1.000000
TOUCH_2	M-86/M-36	EXACT	816967	81686	0.099987	0.055934	0.056248	0.994407	0.932155	1.057867	0.993790	-33.319648	-47.929544	-20.028130	779.551285	-29.607481	-0.034955	-0.173893	0.861950	1.046037	0.013861	1847	0.991025	0.950642	-3.724744	0.000196	SURVIVES	NULL	208	0.000129	HOLM_NOT_SIGNIFICANT	0.075664
TOUCH_GE3	M-38	EXACT	816967	312799	0.382878	0.058571	0.056248	1.041297	1.002693	1.079248	1.068678	-30.460380	-42.756947	-17.329925	752.790526	-29.607481	0.376403	2.073775	0.038100	0.961712	0.004493	1803	1.032083	1.082753	17.714552	0.000000	SURVIVES	ENTRY RULE	25	0.000088	HOLM_SIGNIFICANT	0.000000
PRIOR_TOUCH_HELD	M-06/M-17	EXACT	816967	235827	0.288662	0.057695	0.056248	1.025717	0.987179	1.062623	1.036534	-33.444872	-44.999986	-19.871425	767.220924	-29.607481	0.203355	1.295834	0.195033	0.986318	0.006456	1785	1.020400	1.039946	6.102376	0.000000	SURVIVES	NULL	123	0.000106	HOLM_SIGNIFICANT	0.000000
PRIOR_2_HELD	M-06	EXACT	816967	104778	0.128252	0.059201	0.056248	1.052501	0.990253	1.117459	1.060693	-29.935459	-46.761833	-10.060951	752.695198	-29.607481	0.338752	1.642993	0.100384	0.971620	0.012563	1633	1.014195	1.083243	6.437926	0.000000	SURVIVES	NULL	106	0.000102	HOLM_SIGNIFICANT	0.000000
ZONE_BUILT_BY_SIZE	M-13/M-81	EXACT	816967	291970	0.357383	0.059157	0.056248	1.051708	1.013914	1.088599	1.082847	-24.509667	-37.467212	-12.749465	762.122436	-29.607481	0.452597	2.701941	0.006894	1.036847	0.005527	1799	1.055965	1.014332	2.688917	0.007168	SURVIVES	NULL	268	0.000153	HOLM_NOT_SIGNIFICANT	1.000000
LOSING_STEAM	M-39	EXACT	816967	128292	0.157034	0.062046	0.056248	1.103073	1.071099	1.134098	1.124668	-26.763243	-39.102868	-16.020466	813.803637	-29.607481	0.687770	6.197562	0.000000	1.039237	0.010151	1929	1.019640	1.061425	6.288885	0.000000	SURVIVES	ENTRY RULE	113	0.000104	HOLM_SIGNIFICANT	0.000000
REPEATED_FAIL_RECLAIM	M-42	EXACT	816967	259131	0.317187	0.072909	0.056248	1.296201	1.246321	1.344845	1.503005	-20.853540	-40.801122	0.317295	835.946688	-29.607481	2.440019	10.561490	0.000000	1.100210	0.005347	1923	1.190159	1.178140	36.654000	0.000000	SURVIVES	ENTRY RULE	3	0.000084	HOLM_SIGNIFICANT	0.000000
MICROBALANCE_BREAK	M-40	EXACT	816967	501773	0.614190	0.051743	0.056248	0.919895	0.906776	0.933364	0.815855	-30.425342	-37.399774	-22.625075	791.078555	-29.607481	-1.167874	-11.479562	0.000000	0.975050	0.002912	1930	1.030629	0.943433	-18.941276	0.000000	SURVIVES	VETO RULE	19	0.000087	HOLM_SIGNIFICANT	0.000000
ONX_UNTOUCHED_AHEAD	M-70 (the veto)	APPROX-VP	816967	274006	0.335394	0.071210	0.056248	1.265996	1.185229	1.344866	1.462287	-34.720357	-62.516965	-7.507111	662.227588	-29.607481	2.251233	6.500899	0.000000	0.989809	0.006345	1930	1.268929	1.279031	43.530513	0.000000	SURVIVES	ENTRY RULE	2	0.000084	HOLM_SIGNIFICANT	0.000000
IB_BROKEN_WITH	M-73	EXACT	816967	320399	0.392181	0.066358	0.056248	1.179732	1.124059	1.234077	1.334489	-29.122539	-49.955525	-10.752191	612.076988	-29.607481	1.663257	6.248942	0.000000	1.054722	0.004067	1930	1.114070	1.118523	30.738056	0.000000	SURVIVES	ENTRY RULE	4	0.000085	HOLM_SIGNIFICANT	0.000000
OPEN_IN_PRIOR_VALUE	M-71	APPROX-VP	816967	531695	0.650816	0.052686	0.056248	0.936672	0.903595	0.968650	0.837787	-35.589600	-45.251999	-26.209824	788.352956	-29.607481	-1.020113	-3.901548	0.000096			0	0.936672				DEGENERATE_NULL	DEGENERATE_NULL	0		NO_TEST	
IN_VALUE_AREA	M-57	APPROX-VP	816967	494974	0.605868	0.056306	0.056248	1.001026	0.975201	1.027768	1.002607	-31.681957	-39.746616	-22.712965	792.288645	-29.607481	0.014638	0.077119	0.938529	0.963458	0.003775	1930	1.001896	1.038993	9.952118	0.000000	SURVIVES	NULL	48	0.000091	HOLM_SIGNIFICANT	0.000000
AT_VA_EDGE	M-57/M-81	APPROX-VP	816967	112760	0.138023	0.052900	0.056248	0.940472	0.894390	0.989380	0.931593	-30.503281	-40.213948	-20.713493	859.172413	-29.607481	-0.388448	-2.457193	0.014003	0.888963	0.009867	1930	0.967601	1.057943	5.220272	0.000000	INVERTED	NULL	142	0.000110	HOLM_SIGNIFICANT	0.000081
DAY_P	M-58	APPROX-VP	816967	227763	0.278791	0.058657	0.056248	1.042831	0.982996	1.105027	1.060388	-24.790665	-35.032152	-14.190674	819.425499	-29.607481	0.334046	1.326337	0.184728	1.077199	0.005929	1849	1.023756	0.968095	-5.797071	0.000000	INVERTED	NULL	129	0.000107	HOLM_SIGNIFICANT	0.000003
DAY_B	M-58	APPROX-VP	816967	216938	0.265541	0.053849	0.056248	0.957353	0.899196	1.018769	0.942816	-37.851552	-48.194739	-27.439541	799.187199	-29.607481	-0.326609	-1.346026	0.178294	1.025739	0.006132	1852	0.959381	0.933330	-11.151908	0.000000	SURVIVES	NULL	42	0.000090	HOLM_SIGNIFICANT	0.000000
DAY_D	M-58	APPROX-VP	816967	368540	0.451108	0.056002	0.056248	0.995622	0.952828	1.037305	0.992053	-27.369638	-36.813499	-17.661081	793.604036	-29.607481	-0.044860	-0.206482	0.836414	0.939757	0.003368	1925	0.999177	1.059447	16.587351	0.000000	INVERTED	NULL	27	0.000088	HOLM_SIGNIFICANT	0.000000
THIN_BEHIND	M-11	APPROX-VP	816967	311233	0.380962	0.056867	0.056248	1.011006	0.959146	1.066371	1.017900	-26.159951	-40.446553	-10.954044	804.802664	-29.607481	0.100005	0.408634	0.682808	1.033285	0.005322	1930	1.008917	0.978439	-4.185957	0.000028	INVERTED	NULL	192	0.000124	HOLM_SIGNIFICANT	0.011444
MUT_ABS_LOOKAHEAD_2H	RED-FIRST (leak probe)	MUTANT	816967	112268	0.137420	0.078954	0.056248	1.403668	1.344508	1.460459	1.500142	2.125528	-13.151885	17.406217	887.967943	-29.607481	2.632295	13.025352	0.000000	1.035688	0.012887	1929	1.452345	1.355300	28.555196	0.000000	SURVIVES	ENTRY RULE	8	0.000085	HOLM_SIGNIFICANT	0.000000
MUT_ABS_INVERTED	RED-FIRST	MUTANT	816967	60315	0.073828	0.062323	0.056248	1.107995	1.045971	1.170916	1.117616	-31.361394	-44.556815	-15.249024	855.120720	-29.607481	0.655873	3.350773	0.000806	1.032470	0.014516	1924	1.024254	1.073149	5.202757	0.000000	SURVIVES	ENTRY RULE	144	0.000111	HOLM_SIGNIFICANT	0.000089
MUT_ABS_SHUFFLED	RED-FIRST	MUTANT	816967	199860	0.244637	0.057365	0.056248	1.019856	0.997210	1.041798	1.026457	-22.499218	-29.759580	-14.308291	800.094222	-29.607481	0.147858	1.721380	0.085182	1.015555	0.007715	1930	1.019856	1.004235	0.557472	0.577205	DESTROYED	NULL	489	0.000472	HOLM_NOT_SIGNIFICANT	1.000000
MUT_RANDOM_IID	RED-FIRST	MUTANT	816967	199266	0.243909	0.055629	0.056248	0.988993	0.974072	1.004519	0.985493	-30.868908	-37.664273	-22.454645	803.450827	-29.607481	-0.081886	-1.412488	0.157806	0.997132	0.008645	1930	0.988993	0.991838	-0.941437	0.346481	DESTROYED	NULL	445	0.000333	HOLM_NOT_SIGNIFICANT	1.000000
