# census 4 — the trend entries gated by the [conf, entry] post-window decidability block (m2_delay._post_path features, walk-forward GBT), $/trade by gate keep-fraction (PORT-M2-GOALPATH-V1)
cell	era	gate_keep_frac	n	usd_per_trade	win_rate	ungated_usd_per_trade
TREND_900|SWING|TRAIL_1.0R	E4	0.3	20051	-18.49	0.2954	-26.05
TREND_900|SWING|TRAIL_1.0R	E4	0.5	33419	-19.9	0.284	-26.05
TREND_900|SWING|TRAIL_1.0R	E4	1	66839	-26.05	0.2675	-26.05
TREND_900|SWING|TRAIL_1.0R	E5	0.05	3364	-16.44	0.3133	-26.53
TREND_900|SWING|TRAIL_1.0R	E5	0.1	6729	-17.5	0.3057	-26.53
TREND_900|SWING|TRAIL_1.0R	E5	0.2	13458	-16.07	0.2989	-26.53
TREND_900|SWING|TRAIL_1.0R	E5	0.3	20187	-16.5	0.2891	-26.53
TREND_900|SWING|TRAIL_1.0R	E5	0.5	33646	-17.75	0.2845	-26.53
TREND_900|SWING|TRAIL_1.0R	E5	1	67293	-26.53	0.2649	-26.53
TREND_900|SWING|TRAIL_1.0R	E6	0.05	3692	-6.33	0.3399	-26.49
TREND_900|SWING|TRAIL_1.0R	E6	0.1	7385	-10.29	0.3225	-26.49
TREND_900|SWING|TRAIL_1.0R	E6	0.2	14771	-13.24	0.3062	-26.49
TREND_900|SWING|TRAIL_1.0R	E6	0.3	22157	-14.06	0.2979	-26.49
TREND_900|SWING|TRAIL_1.0R	E6	0.5	36929	-15.66	0.2908	-26.49
TREND_900|SWING|TRAIL_1.0R	E6	1	73859	-26.49	0.2697	-26.49
TREND_1800|EXT|TRAIL_1.0R	E3	0.05	3542	28.76	0.4085	-17.41
TREND_1800|EXT|TRAIL_1.0R	E3	0.1	7085	9.8	0.3952	-17.41
TREND_1800|EXT|TRAIL_1.0R	E3	0.2	14171	-3.47	0.376	-17.41
TREND_1800|EXT|TRAIL_1.0R	E3	0.3	21257	-8.05	0.3736	-17.41
TREND_1800|EXT|TRAIL_1.0R	E3	0.5	35429	-11.21	0.3721	-17.41
TREND_1800|EXT|TRAIL_1.0R	E3	1	70858	-17.41	0.3655	-17.41
TREND_1800|EXT|TRAIL_1.0R	E4	0.05	3446	20.35	0.4124	-18.77
TREND_1800|EXT|TRAIL_1.0R	E4	0.1	6893	15.03	0.4065	-18.77
TREND_1800|EXT|TRAIL_1.0R	E4	0.2	13786	-7.22	0.3814	-18.77
TREND_1800|EXT|TRAIL_1.0R	E4	0.3	20679	-11.44	0.3784	-18.77
TREND_1800|EXT|TRAIL_1.0R	E4	0.5	34465	-18.17	0.3724	-18.77
TREND_1800|EXT|TRAIL_1.0R	E4	1	68931	-18.77	0.3744	-18.77
TREND_1800|EXT|TRAIL_1.0R	E5	0.05	3559	63.21	0.4158	-24.58
TREND_1800|EXT|TRAIL_1.0R	E5	0.1	7118	18.22	0.3986	-24.58
TREND_1800|EXT|TRAIL_1.0R	E5	0.2	14237	-2.87	0.3862	-24.58
TREND_1800|EXT|TRAIL_1.0R	E5	0.3	21356	-9.61	0.3783	-24.58
TREND_1800|EXT|TRAIL_1.0R	E5	0.5	35594	-19.3	0.3688	-24.58
TREND_1800|EXT|TRAIL_1.0R	E5	1	71188	-24.58	0.3666	-24.58
TREND_1800|EXT|TRAIL_1.0R	E6	0.05	3793	157.01	0.4674	-8.23
TREND_1800|EXT|TRAIL_1.0R	E6	0.1	7586	77.71	0.4259	-8.23
TREND_1800|EXT|TRAIL_1.0R	E6	0.2	15173	29.41	0.4003	-8.23
TREND_1800|EXT|TRAIL_1.0R	E6	0.3	22760	14.2	0.3903	-8.23
TREND_1800|EXT|TRAIL_1.0R	E6	0.5	37934	3.48	0.3835	-8.23
TREND_1800|EXT|TRAIL_1.0R	E6	1	75868	-8.23	0.3757	-8.23
