# ROUND-2 SEALED BLIND LEDGER 20240502 (E6R2X-BLIND-D4) — hand channel ONLY (R2-9: the rubric never seats)
# every TAKE carries a decision_journal entry written BEFORE the call and a RIBBON_ACCESS row for the window it read
ep	asset	sec	side	call	p	src	compl	why
HG-20240502-L-E01	HG	00:00	L	SKIP	0.000	-	-	-
NKD-20240502-S-E01	NKD	00:08	S	SKIP	0.000	-	-	-
SI-20240502-S-E01	SI	00:09	S	SKIP	0.000	-	-	-
HG-20240502-S-E01	HG	00:11	S	SKIP	0.000	-	-	-
SI-20240502-L-E01	SI	00:15	L	SKIP	0.000	-	-	-
SI-20240502-L-E02	SI	00:19	L	SKIP	0.000	-	-	-
SI-20240502-L-E03	SI	00:25	L	SKIP	0.000	-	-	-
SI-20240502-S-E02	SI	00:27	S	SKIP	0.000	-	-	-
NKD-20240502-L-E01	NKD	00:29	L	SKIP	0.000	-	-	-
NKD-20240502-L-E02	NKD	00:34	L	SKIP	0.000	-	-	-
SI-20240502-L-E04	SI	00:34	L	SKIP	0.000	-	-	-
SI-20240502-S-E03	SI	00:47	S	SKIP	0.000	-	-	-
NKD-20240502-L-E03	NKD	01:02	L	SKIP	0.000	-	-	-
SI-20240502-L-E05	SI	01:06	L	SKIP	0.000	-	-	-
NKD-20240502-L-E04	NKD	01:11	L	SKIP	0.000	-	-	-
NKD-20240502-S-E02	NKD	01:25	S	SKIP	0.000	-	-	-
NKD-20240502-S-E03	NKD	01:32	S	SKIP	0.000	-	-	-
NKD-20240502-L-E05	NKD	01:32	L	SKIP	0.000	-	-	-
SI-20240502-S-E04	SI	01:35	S	SKIP	0.000	-	-	-
NKD-20240502-S-E04	NKD	01:40	S	SKIP	0.000	-	-	-
NKD-20240502-S-E05	NKD	01:42	S	SKIP	0.000	-	-	-
NKD-20240502-L-E06	NKD	01:47	L	SKIP	0.000	-	-	-
SI-20240502-L-E06	SI	01:47	L	SKIP	0.000	-	-	-
HG-20240502-L-E02	HG	01:49	L	SKIP	0.000	-	-	-
NKD-20240502-S-E06	NKD	01:53	S	SKIP	0.000	-	-	-
NKD-20240502-S-E07	NKD	01:56	S	SKIP	0.000	-	-	-
NKD-20240502-L-E07	NKD	02:01	L	SKIP	0.000	-	-	-
NKD-20240502-S-E08	NKD	02:02	S	SKIP	0.000	-	-	-
NKD-20240502-S-E09	NKD	02:04	S	SKIP	0.000	-	-	-
HG-20240502-L-E03	HG	02:05	L	SKIP	0.000	-	-	-
SI-20240502-S-E05	SI	02:08	S	SKIP	0.000	-	-	-
HG-20240502-S-E02	HG	02:08	S	SKIP	0.000	-	-	-
NKD-20240502-L-E08	NKD	02:10	L	SKIP	0.000	-	-	-
HG-20240502-S-E03	HG	02:12	S	SKIP	0.000	-	-	-
NKD-20240502-L-E09	NKD	02:12	L	SKIP	0.000	-	-	-
SI-20240502-L-E07	SI	02:15	L	SKIP	0.000	-	-	-
NKD-20240502-S-E10	NKD	02:18	S	SKIP	0.000	-	-	-
NKD-20240502-L-E10	NKD	02:19	L	SKIP	0.000	-	-	-
HG-20240502-L-E04	HG	02:20	L	SKIP	0.000	-	-	-
NKD-20240502-S-E11	NKD	02:23	S	SKIP	0.000	-	-	-
NKD-20240502-L-E11	NKD	02:27	L	SKIP	0.000	-	-	-
SI-20240502-S-E06	SI	02:27	S	SKIP	0.000	-	-	-
NKD-20240502-L-E12	NKD	02:29	L	SKIP	0.000	-	-	-
HG-20240502-S-E04	HG	02:31	S	SKIP	0.000	-	-	-
NKD-20240502-S-E12	NKD	02:34	S	SKIP	0.000	-	-	-
NKD-20240502-L-E13	NKD	02:37	L	SKIP	0.000	-	-	-
SI-20240502-L-E08	SI	02:39	L	SKIP	0.000	-	-	-
NKD-20240502-S-E13	NKD	02:42	S	SKIP	0.000	-	-	-
NKD-20240502-L-E14	NKD	02:44	L	SKIP	0.000	-	-	-
HG-20240502-L-E05	HG	02:47	L	SKIP	0.000	-	-	-
NKD-20240502-S-E14	NKD	02:48	S	SKIP	0.000	-	-	-
HG-20240502-L-E06	HG	02:51	L	SKIP	0.000	-	-	-
NKD-20240502-L-E15	NKD	02:52	L	SKIP	0.000	-	-	-
NKD-20240502-S-E15	NKD	02:59	S	SKIP	0.000	-	-	-
HG-20240502-S-E05	HG	03:00	S	SKIP	0.000	-	-	-
SI-20240502-S-E07	SI	03:00	S	SKIP	0.000	-	-	-
SI-20240502-L-E09	SI	03:04	L	SKIP	0.000	-	-	-
NKD-20240502-L-E16	NKD	03:06	L	SKIP	0.000	-	-	-
HG-20240502-L-E07	HG	03:06	L	SKIP	0.000	-	-	-
NKD-20240502-S-E16	NKD	03:08	S	SKIP	0.000	-	-	-
NKD-20240502-L-E17	NKD	03:10	L	SKIP	0.000	-	-	-
HG-20240502-S-E06	HG	03:13	S	SKIP	0.000	-	-	-
SI-20240502-S-E08	SI	03:13	S	SKIP	0.000	-	-	-
NKD-20240502-L-E18	NKD	03:14	L	SKIP	0.000	-	-	-
NKD-20240502-S-E17	NKD	03:16	S	SKIP	0.000	-	-	-
NKD-20240502-S-E18	NKD	03:18	S	SKIP	0.000	-	-	-
NKD-20240502-L-E19	NKD	03:19	L	SKIP	0.000	-	-	-
SI-20240502-S-E09	SI	03:21	S	SKIP	0.000	-	-	-
NKD-20240502-S-E19	NKD	03:23	S	SKIP	0.000	-	-	-
NKD-20240502-L-E20	NKD	03:27	L	SKIP	0.000	-	-	-
HG-20240502-S-E07	HG	03:27	S	SKIP	0.000	-	-	-
SI-20240502-S-E10	SI	03:28	S	SKIP	0.000	-	-	-
HG-20240502-S-E08	HG	03:31	S	SKIP	0.000	-	-	-
SI-20240502-S-E11	SI	03:32	S	SKIP	0.000	-	-	-
NKD-20240502-S-E20	NKD	03:32	S	SKIP	0.000	-	-	-
SI-20240502-L-E10	SI	03:35	L	SKIP	0.000	-	-	-
NKD-20240502-L-E21	NKD	03:36	L	SKIP	0.000	-	-	-
HG-20240502-L-E08	HG	03:38	L	SKIP	0.000	-	-	-
NKD-20240502-S-E21	NKD	03:38	S	SKIP	0.000	-	-	-
SI-20240502-L-E11	SI	03:39	L	SKIP	0.000	-	-	-
NKD-20240502-S-E22	NKD	03:41	S	SKIP	0.000	-	-	-
NKD-20240502-L-E22	NKD	03:42	L	SKIP	0.000	-	-	-
HG-20240502-S-E09	HG	03:44	S	SKIP	0.000	-	-	-
SI-20240502-S-E12	SI	03:44	S	SKIP	0.000	-	-	-
NKD-20240502-S-E23	NKD	03:44	S	SKIP	0.000	-	-	-
HG-20240502-L-E09	HG	03:45	L	SKIP	0.000	-	-	-
NKD-20240502-L-E23	NKD	03:46	L	SKIP	0.000	-	-	-
HG-20240502-L-E10	HG	03:48	L	SKIP	0.000	-	-	-
SI-20240502-S-E13	SI	03:51	S	SKIP	0.000	-	-	-
HG-20240502-S-E10	HG	03:51	S	SKIP	0.000	-	-	-
NKD-20240502-L-E24	NKD	03:52	L	SKIP	0.000	-	-	-
HG-20240502-L-E11	HG	03:59	L	SKIP	0.000	-	-	-
NKD-20240502-L-E25	NKD	04:02	L	SKIP	0.000	-	-	-
SI-20240502-L-E12	SI	04:02	L	SKIP	0.000	-	-	-
HG-20240502-L-E12	HG	04:02	L	SKIP	0.000	-	-	-
NKD-20240502-S-E24	NKD	04:02	S	SKIP	0.000	-	-	-
HG-20240502-S-E11	HG	04:08	S	SKIP	0.000	-	-	-
HG-20240502-S-E12	HG	04:10	S	SKIP	0.000	-	-	-
SI-20240502-L-E13	SI	04:11	L	SKIP	0.000	-	-	-
HG-20240502-S-E13	HG	04:13	S	SKIP	0.000	-	-	-
SI-20240502-S-E14	SI	04:20	S	SKIP	0.000	-	-	-
HG-20240502-S-E14	HG	04:21	S	SKIP	0.000	-	-	-
