ep	asset	rep_close	rep_mae	rep_win	best_close	n_win	oracle
HG-20240118-L-E01	HG	383	187	0	383	0	0
HG-20240118-L-E02	HG	370	200	0	370	0	0
HG-20240118-L-E03	HG	276	294	0	276	0	0
HG-20240118-L-E04	HG	170	400	0	170	0	0
HG-20240118-L-E05	HG	183	387	0	183	0	0
HG-20240118-L-E06	HG	258	312	0	258	0	0
HG-20240118-L-E07	HG	214	356	0	214	0	0
HG-20240118-L-E08	HG	107	462	0	107	0	0
HG-20240118-L-E09	HG	220	350	0	220	0	0
HG-20240118-L-E10	HG	370	200	0	370	0	0
HG-20240118-L-E11	HG	345	225	0	358	0	0
HG-20240118-L-E12	HG	332	238	0	332	0	0
HG-20240118-L-E13	HG	532	38	0	532	0	1
HG-20240118-L-E14	HG	458	50	0	458	0	0
HG-20240118-L-E15	HG	283	225	0	283	0	0
HG-20240118-L-E16	HG	420	87	0	420	0	0
HG-20240118-L-E17	HG	407	100	0	432	0	0
HG-20240118-L-E18	HG	414	94	0	414	0	0
HG-20240118-L-E19	HG	458	12	0	458	0	0
HG-20240118-L-E20	HG	420	50	0	432	0	0
HG-20240118-L-E21	HG	345	13	0	345	0	0
HG-20240118-L-E22	HG	158	37	0	158	0	0
HG-20240118-L-E23	HG	107	38	0	107	0	0
HG-20240118-L-E24	HG	32	113	0	32	0	0
HG-20240118-L-E25	HG	58	25	0	58	0	0
HG-20240118-L-E26	HG	20	0	0	20	0	0
HG-20240118-L-E27	HG	-505	862	0	-505	0	0
HG-20240118-L-E28	HG	-542	900	0	-542	0	0
HG-20240118-L-E29	HG	-530	887	0	-530	0	0
HG-20240118-L-E30	HG	-411	769	0	-393	0	0
HG-20240118-L-E31	HG	-255	612	0	-255	0	0
HG-20240118-L-E32	HG	-255	612	0	-242	0	0
HG-20240118-L-E33	HG	-286	644	0	-286	0	0
HG-20240118-L-E34	HG	-255	612	0	-255	0	0
HG-20240118-L-E35	HG	-93	450	0	-93	0	0
HG-20240118-L-E36	HG	-55	412	0	-55	0	0
HG-20240118-L-E37	HG	-149	506	0	-68	0	0
HG-20240118-L-E38	HG	-193	550	0	-180	0	0
