# PORT M2 THE PRECISION FRONTIER (threshold x day-abstention x agreement) (PORT-M2-PRECISION-FRONTIER-V1)
# THE DAY-ABSTENTION FRONTIER.  causal_top3_running: an (asset, day) qualifies the instant its RUNNING top-3 mean of arrived candidate scores crosses the gate — no day-end quantity is read anywhere
# preday_forecaster: the oracle-free variant — a walk-forward day-value model on the forecaster + overnight state as of the day's FIRST candidate second, no candidate score in it at all
era	gate	gate_pct	gate_value	n_sessions_qualified	tier	n_candidates	n_seated	n_forfeited	precision	precision_lo	precision_hi	usd_per_trade	usd_per_trade_lo	usd_per_trade_hi	takes_per_day	takes_per_week	usd_per_day	usd_per_day_lo	usd_per_day_hi	usd_per_traded_day	usd_per_week	usd_per_week_lo	usd_week_p10	usd_week_median	frac_losing_weeks	frac_days_traded	n_days_traded	usd_per_session_all	usd_per_session_traded	mean_mae_usd	walled_rate	frac_ge_600	usd_total
E6	causal_top3_running	q70.0	0.0794	340	top_0.05%	60	4	56	0.0000	0.0000	0.0000	46.5625	-2434.8671	2527.9921	0.0312	0.1538	1.4551	-27.6230	30.5331	62.0833	7.1635	-144.1625	0.0000	0.0000	0.0769	0.0234	3	0.4850	46.5625	439.0625	0.5000	0.2500	186.2500
E6	causal_top3_running	q70.0	0.0794	340	top_0.1%	121	6	115	0.0000	0.0000	0.0000	-425.8333	-2287.8707	1436.2040	0.0469	0.2308	-19.9609	-64.6575	24.7357	-851.6667	-98.2692	-328.0882	0.0000	0.0000	0.0769	0.0234	3	-6.6536	-511.0000	307.2917	0.6667	0.1667	-2555.0000
E6	causal_top3_running	q70.0	0.0794	340	top_0.2%	241	8	233	0.1250	-0.1831	0.4331	-329.2188	-1372.5419	714.1044	0.0625	0.3077	-20.5762	-60.6781	19.5258	-877.9167	-101.2981	-306.6753	0.0000	0.0000	0.0769	0.0234	3	-6.8587	-526.7500	556.2500	0.7500	0.2500	-2633.7500
E6	causal_top3_running	q70.0	0.0794	340	top_0.5%	603	17	586	0.0000	0.0000	0.0000	208.6029	-727.4219	1144.6278	0.1328	0.6538	27.7051	-63.7357	119.1459	506.6071	136.3942	-336.8977	-40.0000	0.0000	0.1154	0.0547	7	9.2350	322.3864	618.3824	0.4118	0.2941	3546.2500
E6	causal_top3_running	q70.0	0.0794	340	top_1%	1206	37	1169	0.0541	-0.0292	0.1373	-148.9189	-488.3227	190.4849	0.2891	1.4231	-43.0469	-138.5805	52.4868	-393.5714	-211.9231	-776.4659	-1793.1250	0.0000	0.2308	0.1094	14	-14.3490	-239.5652	490.3716	0.5946	0.1892	-5510.0000
E6	causal_top3_running	q70.0	0.0794	340	top_2%	2412	55	2357	0.0909	0.0083	0.1736	-56.3636	-435.8494	323.1221	0.4297	2.1154	-24.2188	-180.1428	131.7053	-129.1667	-119.2308	-603.2456	-1786.2500	0.0000	0.2308	0.1875	24	-8.0729	-91.1765	564.8864	0.6000	0.2182	-3100.0000
E6	causal_top3_running	q70.0	0.0794	340	top_5%	6029	162	5867	0.0802	0.0417	0.1188	-19.1975	-238.1022	199.7071	1.2656	6.2308	-24.2969	-298.0011	249.4073	-55.5357	-119.6154	-1301.5892	-2593.1250	0.0000	0.3846	0.4375	56	-8.0990	-32.7368	545.3318	0.5741	0.2407	-3110.0000
E6	causal_top3_running	q70.0	0.0794	340	top_100%	120577	1212	119365	0.0751	0.0598	0.0903	-30.4022	-99.3618	38.5573	9.4688	46.6154	-287.8711	-950.9255	375.1833	-287.8711	-1417.2115	-5585.4911	-12809.3750	542.5000	0.3846	1.0000	128	-95.9570	-108.3750	520.1630	0.5107	0.2129	-36847.5000
E6	causal_top3_running	q80.0	0.0895	297	top_0.05%	49	3	46	0.0000	0.0000	0.0000	372.0833	-9722.2904	10466.4571	0.0234	0.1154	8.7207	-16.4769	33.9183	558.1250	42.9327	-87.2650	0.0000	0.0000	0.0385	0.0156	2	2.9069	372.0833	545.8333	0.3333	0.3333	1116.2500
E6	causal_top3_running	q80.0	0.0895	297	top_0.1%	97	7	90	0.0000	0.0000	0.0000	-497.8571	-2747.3198	1751.6055	0.0547	0.2692	-27.2266	-103.4688	49.0156	-1161.6667	-134.0385	-527.8003	0.0000	0.0000	0.0769	0.0234	3	-9.0755	-871.2500	391.9643	0.7143	0.1429	-3485.0000
E6	causal_top3_running	q80.0	0.0895	297	top_0.2%	194	8	186	0.1250	-0.1831	0.4331	-262.8125	-1285.4113	759.7863	0.0625	0.3077	-16.4258	-54.4109	21.5593	-700.8333	-80.8654	-276.3260	0.0000	0.0000	0.0769	0.0234	3	-5.4753	-420.5000	516.4063	0.6250	0.2500	-2102.5000
E6	causal_top3_running	q80.0	0.0895	297	top_0.5%	485	16	469	0.0000	0.0000	0.0000	252.0312	-782.9969	1287.0594	0.1250	0.6154	31.5039	-56.0136	119.0214	672.0833	155.0962	-296.8411	0.0000	0.0000	0.0769	0.0469	6	10.5013	403.2500	633.5938	0.3750	0.3125	4032.5000
E6	causal_top3_running	q80.0	0.0895	297	top_1%	970	31	939	0.0000	0.0000	0.0000	-161.2500	-510.4702	187.9702	0.2422	1.1923	-39.0527	-119.8824	41.7769	-499.8750	-192.2596	-635.5308	-1328.1250	0.0000	0.1538	0.0781	10	-13.0176	-294.0441	503.8306	0.5806	0.1935	-4998.7500
E6	causal_top3_running	q80.0	0.0895	297	top_2%	1941	50	1891	0.0600	-0.0169	0.1369	-69.1250	-407.8058	269.5558	0.3906	1.9231	-27.0020	-152.6955	98.6916	-164.5833	-132.9327	-677.5014	-2101.8750	0.0000	0.2308	0.1641	21	-9.0007	-111.4919	622.1250	0.5800	0.2000	-3456.2500
E6	causal_top3_running	q80.0	0.0895	297	top_5%	4851	123	4728	0.0976	0.0484	0.1468	16.7480	-233.3723	266.8682	0.9609	4.7308	16.0938	-217.8315	250.0190	42.9167	79.2308	-853.6591	-1435.0000	0.0000	0.3846	0.3750	48	5.3646	26.4103	547.8659	0.5366	0.2439	2060.0000
E6	causal_top3_running	q80.0	0.0895	297	top_100%	97029	956	96073	0.0785	0.0604	0.0965	-35.6420	-108.8981	37.6141	7.4688	36.7692	-266.2012	-824.1287	291.7264	-272.5900	-1310.5288	-4515.0664	-12850.6250	975.0000	0.4615	0.9766	125	-88.7337	-114.7264	519.0769	0.5136	0.2228	-34073.7500
E6	causal_top3_running	q90.0	0.1035	187	top_0.05%	28	1	27	0.0000	.	.	695.0000	.	.	0.0078	0.0385	5.4297	-5.3147	16.1741	695.0000	26.7308	-28.3223	0.0000	0.0000	0.0000	0.0078	1	1.8099	695.0000	25.0000	0.0000	1.0000	695.0000
E6	causal_top3_running	q90.0	0.1035	187	top_0.1%	55	4	51	0.0000	0.0000	0.0000	46.5625	-2434.8671	2527.9921	0.0312	0.1538	1.4551	-27.6230	30.5331	62.0833	7.1635	-144.1625	0.0000	0.0000	0.0769	0.0234	3	0.4850	46.5625	439.0625	0.5000	0.2500	186.2500
E6	causal_top3_running	q90.0	0.1035	187	top_0.2%	111	7	104	0.0000	0.0000	0.0000	-497.8571	-2747.3198	1751.6055	0.0547	0.2692	-27.2266	-103.4688	49.0156	-1161.6667	-134.0385	-527.8003	0.0000	0.0000	0.0769	0.0234	3	-9.0755	-871.2500	327.6786	0.7143	0.1429	-3485.0000
E6	causal_top3_running	q90.0	0.1035	187	top_0.5%	277	9	268	0.2222	-0.0212	0.4656	-57.0833	-2210.6916	2096.5250	0.0703	0.3462	-4.0137	-61.8980	53.8707	-171.2500	-19.7596	-320.9552	0.0000	0.0000	0.0769	0.0234	3	-1.3379	-102.7500	563.8889	0.6667	0.3333	-513.7500
