ep	asset	sec	side	p	call	src	compl	why
NKD-20240419-L-E01	NK	00:13	L	0.045	SKIP	RUBRIC	-	fresh+wide
NKD-20240419-L-E02	NK	00:21	L	0.032	SKIP	RUBRIC	-	wide
HG-20240419-L-E01	HG	00:22	L	0.064	SKIP	RUBRIC	-	flow
NKD-20240419-S-E01	NK	00:24	S	0.064	SKIP	RUBRIC	-	fresh+flow+wide
HG-20240419-L-E02	HG	00:31	L	0.045	SKIP	RUBRIC	-	base
HG-20240419-S-E01	HG	00:33	S	0.091	SKIP	RUBRIC	-	fresh+flow
HG-20240419-S-E02	HG	00:36	S	0.091	SKIP	RUBRIC	-	fresh+flow
HG-20240419-S-E03	HG	00:38	S	0.129	SKIP	RUBRIC	-	fresh+level_held+flow
SI-20240419-S-E01	SI	00:39	S	0.045	SKIP	RUBRIC	-	base
NKD-20240419-S-E02	NK	00:54	S	0.032	SKIP	RUBRIC	-	wide
NKD-20240419-S-E03	NK	01:02	S	0.045	SKIP	RUBRIC	-	flow+wide
NKD-20240419-L-E03	NK	01:14	L	0.064	SKIP	RUBRIC	-	fresh+flow+wide
NKD-20240419-S-E04	NK	01:20	S	0.032	SKIP	RUBRIC	-	wide
NKD-20240419-L-E04	NK	01:38	L	0.045	SKIP	RUBRIC	-	flow+wide
SI-20240419-L-E01	SI	01:38	L	0.064	SKIP	RUBRIC	-	flow
HG-20240419-L-E03	HG	01:42	L	0.064	SKIP	RUBRIC	-	flow
NKD-20240419-L-E05	NK	01:47	L	0.045	SKIP	RUBRIC	-	flow+wide
NKD-20240419-S-E05	NK	01:48	S	0.064	SKIP	RUBRIC	-	flow
HG-20240419-L-E04	HG	01:52	L	0.045	SKIP	RUBRIC	-	base
NKD-20240419-S-E06	NK	01:55	S	0.064	SKIP	RUBRIC	-	level_held+flow+wide
NKD-20240419-L-E06	NK	01:57	L	0.091	SKIP	RUBRIC	-	fresh+level_held+fuel+wide
NKD-20240419-S-E07	NK	01:59	S	0.064	SKIP	RUBRIC	-	level_held+flow+wide
SI-20240419-S-E02	SI	02:02	S	0.064	SKIP	RUBRIC	-	flow
NKD-20240419-L-E07	NK	02:02	L	0.045	SKIP	RUBRIC	-	fresh+flow_against+fuel+wide
NKD-20240419-S-E08	NK	02:03	S	0.032	SKIP	RUBRIC	-	stale+flow+wide
SI-20240419-S-E03	SI	02:06	S	0.064	SKIP	RUBRIC	-	flow
HG-20240419-S-E04	HG	02:07	S	0.064	SKIP	RUBRIC	-	flow
NKD-20240419-S-E09	NK	02:11	S	0.032	SKIP	RUBRIC	-	stale+level_held+wide
SI-20240419-S-E04	SI	02:15	S	0.064	SKIP	RUBRIC	-	flow
NKD-20240419-L-E08	NK	02:15	L	0.091	SKIP	RUBRIC	-	fresh+level_held+fuel+wide
HG-20240419-S-E05	HG	02:16	S	0.045	SKIP	RUBRIC	-	stale+flow
NKD-20240419-S-E10	NK	02:18	S	0.064	SKIP	RUBRIC	-	stale+level_held+flow
NKD-20240419-L-E09	NK	02:22	L	0.045	SKIP	RUBRIC	-	fresh+flow_against+fuel+wide
SI-20240419-S-E05	SI	02:22	S	0.091	SKIP	RUBRIC	-	level_held+flow
NKD-20240419-S-E11	NK	02:22	S	0.032	SKIP	RUBRIC	-	stale+flow+wide
HG-20240419-L-E05	HG	02:25	L	0.182	TAKE	RUBRIC	-	fresh+level_held+flow+fuel
NKD-20240419-L-E10	NK	02:26	L	0.010	SKIP	RUBRIC	-	no_room
NKD-20240419-S-E12	NK	02:26	S	0.010	SKIP	RUBRIC	-	no_room
HG-20240419-L-E06	HG	02:29	L	0.182	SKIP	RUBRIC	-	fresh+level_held+flow+fuel
NKD-20240419-S-E13	NK	02:30	S	0.010	SKIP	RUBRIC	-	no_room
SI-20240419-L-E02	SI	02:31	L	0.182	TAKE	RUBRIC	-	fresh+level_held+flow+fuel
NKD-20240419-L-E11	NK	02:35	L	0.129	SKIP	RUBRIC	-	fresh+level_held+flow+fuel+wide
HG-20240419-L-E07	HG	02:36	L	0.064	SKIP	RUBRIC	-	flow
SI-20240419-L-E03	SI	02:37	L	0.064	SKIP	RUBRIC	-	flow
NKD-20240419-S-E14	NK	02:38	S	0.032	SKIP	RUBRIC	-	stale+level_held+wide
NKD-20240419-L-E12	NK	02:40	L	0.091	SKIP	RUBRIC	-	fresh+flow+fuel+wide
NKD-20240419-S-E15	NK	02:42	S	0.032	SKIP	RUBRIC	-	stale+level_held+wide
HG-20240419-S-E06	HG	02:45	S	0.064	SKIP	RUBRIC	-	stale+flow+fuel
SI-20240419-L-E04	SI	02:47	L	0.064	SKIP	RUBRIC	-	flow
NKD-20240419-S-E16	NK	02:48	S	0.022	SKIP	RUBRIC	-	stale+wide
NKD-20240419-S-E17	NK	02:53	S	0.045	SKIP	RUBRIC	-	stale+level_held+flow+wide
NKD-20240419-L-E13	NK	02:55	L	0.091	SKIP	RUBRIC	-	level_held+flow+fuel+wide
HG-20240419-L-E08	HG	02:55	L	0.064	SKIP	RUBRIC	-	flow
HG-20240419-S-E07	HG	02:57	S	0.064	SKIP	RUBRIC	-	fresh+flow_against+fuel
SI-20240419-L-E05	SI	02:58	L	0.064	SKIP	RUBRIC	-	flow
NKD-20240419-S-E18	NK	02:59	S	0.032	SKIP	RUBRIC	-	stale+flow+wide
HG-20240419-L-E09	HG	03:01	L	0.091	SKIP	RUBRIC	-	flow+burst
HG-20240419-S-E08	HG	03:02	S	0.091	SKIP	RUBRIC	-	fresh+flow_against+fuel+burst
NKD-20240419-L-E14	NK	03:02	L	0.064	SKIP	RUBRIC	-	fresh+level_held+flow_against+fuel+wide
HG-20240419-S-E09	HG	03:04	S	0.091	SKIP	RUBRIC	-	fresh+level_held+flow_against+fuel
NKD-20240419-S-E19	NK	03:04	S	0.045	SKIP	RUBRIC	-	stale+level_held+flow+wide
HG-20240419-L-E10	HG	03:05	L	0.064	SKIP	RUBRIC	-	flow
NKD-20240419-L-E15	NK	03:07	L	0.064	SKIP	RUBRIC	-	fresh+level_held+flow_against+fuel+wide
SI-20240419-S-E06	SI	03:08	S	0.010	SKIP	RUBRIC	-	no_room
HG-20240419-L-E11	HG	03:09	L	0.091	SKIP	RUBRIC	-	level_held+flow
SI-20240419-L-E06	SI	03:09	L	0.010	SKIP	RUBRIC	-	no_room
HG-20240419-S-E10	HG	03:09	S	0.182	SKIP	RUBRIC	-	fresh+level_held+flow+fuel
SI-20240419-S-E07	SI	03:15	S	0.182	SKIP	RUBRIC	-	fresh+level_held+flow+fuel
