# P-M2c warm-up draw — deterministic; see warmup_draw.py
cid	asset	date8	dec_sec	side	candidate_class	driver_family	phase_dec	entry_mid	spread_at_decision	_slot	_sess_n	_ablation
NKD-20210701-000027-L	NKD	20210701	27	1	OPEN-DYNAMICS	G1_FAST_OPEN	TOKYO	28817.500000	175.000000	FIRST_OPEN-DYNAMICS		0
NKD-20210701-007741-L	NKD	20210701	7741	1	RECLAIM	G2_RECLAIM	TOKYO	28735.000000	50.000000	FIRST_RECLAIM		0
SI-20210701-012312-S	SI	20210701	12312	-1	RECLAIM	G2_RECLAIM	TOKYO	26.277500	25.000000	FIRST_RECLAIM		0
HG-20210701-019514-L	HG	20210701	19514	1	RECLAIM	G2_RECLAIM	TOKYO	4.264500	25.000000	FIRST_RECLAIM		0
SI-20210701-025274-L	SI	20210701	25274	1	OPEN-DYNAMICS	G1_FAST_OPEN	LONDON	26.317500	25.000000	FIRST_OPEN-DYNAMICS		0
HG-20210701-052246-S	HG	20210701	52246	-1	NEWS-WINDOW	NEWS_WINDOW	NY	4.295500	25.000000	FIRST_NEWS-WINDOW		0
SI-20210701-052332-L	SI	20210701	52332	1	NEWS-WINDOW	NEWS_WINDOW	NY	26.335000	50.000000	FIRST_NEWS-WINDOW		0
NKD-20210701-052433-L	NKD	20210701	52433	1	NEWS-WINDOW	NEWS_WINDOW	NY	28697.500000	25.000000	FIRST_NEWS-WINDOW		0
HG-20210701-055858-S	HG	20210701	55858	-1	OPEN-DYNAMICS	MICRO_OPEN	NY	4.310000	25.000000	FIRST_OPEN-DYNAMICS		0
NKD-20210818-007457-S	NKD	20210818	7457	-1	REVERSAL-CONFIRMATION	G1_FINE	TOKYO	27407.500000	75.000000	TR10	342	0
NKD-20210818-010636-S	NKD	20210818	10636	-1	REVERSAL-CONFIRMATION	G1	TOKYO	27450.000000	50.000000	TR30	342	1
NKD-20210818-027352-L	NKD	20210818	27352	1	REVERSAL-CONFIRMATION	G1	TOKYO	27615.000000	50.000000	TR50	342	0
NKD-20210818-055996-L	NKD	20210818	55996	1	REVERSAL-CONFIRMATION	G1_FINE	NY	27572.500000	25.000000	TR70	342	1
NKD-20210818-075162-L	NKD	20210818	75162	1	REVERSAL-CONFIRMATION	G1_FINE	NY	27575.000000	50.000000	TR90	342	0
SI-20210831-028796-S	SI	20210831	28796	-1	REVERSAL-CONFIRMATION	G1_FINE	LONDON	24.242500	25.000000	TR10	367	0
SI-20210831-050176-L	SI	20210831	50176	1	REVERSAL-CONFIRMATION	G1_FINE	NY	24.130000	50.000000	TR30	367	1
SI-20210831-055292-L	SI	20210831	55292	1	REVERSAL-CONFIRMATION	G2_REJECT	NY	24.017500	25.000000	TR50	367	0
SI-20210831-058078-L	SI	20210831	58078	1	NEWS-WINDOW	NEWS_WINDOW	NY	24.062500	25.000000	TR70	367	1
SI-20210831-062805-L	SI	20210831	62805	1	REVERSAL-CONFIRMATION	G1_FINE	NY	23.897500	25.000000	TR90	367	0
HG-20210929-013657-L	HG	20210929	13657	1	REVERSAL-CONFIRMATION	G2_REJECT	TOKYO	4.230500	25.000000	TR10	400	0
HG-20210929-034204-L	HG	20210929	34204	1	RECLAIM	G2_RECLAIM	LONDON	4.220000	25.000000	TR30	400	1
HG-20210929-052330-S	HG	20210929	52330	-1	REVERSAL-CONFIRMATION	G1_FINE	NY	4.245000	25.000000	TR50	400	0
HG-20210929-058037-S	HG	20210929	58037	-1	REVERSAL-CONFIRMATION	G1	NY	4.207500	25.000000	TR70	400	1
HG-20210929-066533-S	HG	20210929	66533	-1	REVERSAL-CONFIRMATION	G1	NY	4.202000	25.000000	TR90	400	0
