# E6 EXTRACTION companion — see provenance/port_m2/E6_EXTRACTION.md and design/TEACHER_FEATURES_V1.md
# target = panel_score.outcome(rep_cid)['winner_close'] (D-021)
date8	episode_id	asset	side	rep_cid	rep_class	rep_phase	first_dec_sec	n_members	rep_close	rep_mae	rep_walled	rep_win	best_close	best_cid	n_win	oracle_seat
20240118	HG-20240118-S-E01	HG	S	HG-20240118-001489-S	REVERSAL-CONFIRMATION	TOKYO	1489	1	-442.50	450.00	0	0	-442.50	HG-20240118-001489-S	0	0
20240118	HG-20240118-S-E02	HG	S	HG-20240118-004797-S	REVERSAL-CONFIRMATION	TOKYO	4797	1	-455.00	462.50	0	0	-455.00	HG-20240118-004797-S	0	0
20240118	HG-20240118-S-E03	HG	S	HG-20240118-005521-S	REVERSAL-CONFIRMATION	TOKYO	5521	1	-480.00	487.50	0	0	-480.00	HG-20240118-005521-S	0	0
20240118	HG-20240118-L-E01	HG	L	HG-20240118-006505-L	REVERSAL-CONFIRMATION	TOKYO	6505	1	382.50	187.50	0	0	382.50	HG-20240118-006505-L	0	0
20240118	HG-20240118-L-E02	HG	L	HG-20240118-006644-L	REVERSAL-CONFIRMATION	TOKYO	6644	1	370.00	200.00	0	0	370.00	HG-20240118-006644-L	0	0
20240118	HG-20240118-L-E03	HG	L	HG-20240118-006900-L	REVERSAL-CONFIRMATION	TOKYO	6900	2	276.25	293.75	0	0	276.25	HG-20240118-006900-L	0	0
20240118	HG-20240118-S-E04	HG	S	HG-20240118-007331-S	REVERSAL-CONFIRMATION	TOKYO	7331	1	-230.00	237.50	0	0	-230.00	HG-20240118-007331-S	0	0
20240118	HG-20240118-L-E04	HG	L	HG-20240118-007379-L	REVERSAL-CONFIRMATION	TOKYO	7379	1	170.00	400.00	0	0	170.00	HG-20240118-007379-L	0	0
20240118	HG-20240118-S-E05	HG	S	HG-20240118-008036-S	REVERSAL-CONFIRMATION	TOKYO	8036	1	-211.25	218.75	0	0	-211.25	HG-20240118-008036-S	0	0
20240118	HG-20240118-L-E05	HG	L	HG-20240118-008382-L	REVERSAL-CONFIRMATION	TOKYO	8382	1	182.50	387.50	0	0	182.50	HG-20240118-008382-L	0	0
20240118	HG-20240118-S-E06	HG	S	HG-20240118-008589-S	REVERSAL-CONFIRMATION	TOKYO	8589	2	-230.00	237.50	0	0	-230.00	HG-20240118-008589-S	0	0
20240118	HG-20240118-S-E07	HG	S	HG-20240118-008835-S	REVERSAL-CONFIRMATION	TOKYO	8835	1	-292.50	300.00	0	0	-292.50	HG-20240118-008835-S	0	0
20240118	HG-20240118-S-E08	HG	S	HG-20240118-009261-S	REVERSAL-CONFIRMATION	TOKYO	9261	1	-380.00	387.50	0	0	-380.00	HG-20240118-009261-S	0	0
20240118	HG-20240118-L-E06	HG	L	HG-20240118-009480-L	REVERSAL-CONFIRMATION	TOKYO	9480	4	257.50	312.50	0	0	257.50	HG-20240118-009480-L	0	0
20240118	HG-20240118-S-E09	HG	S	HG-20240118-009570-S	REVERSAL-CONFIRMATION	TOKYO	9570	1	-298.75	306.25	0	0	-298.75	HG-20240118-009570-S	0	0
20240118	HG-20240118-L-E07	HG	L	HG-20240118-010374-L	REVERSAL-CONFIRMATION	TOKYO	10374	1	213.75	356.25	0	0	213.75	HG-20240118-010374-L	0	0
20240118	HG-20240118-L-E08	HG	L	HG-20240118-010580-L	REVERSAL-CONFIRMATION	TOKYO	10580	1	107.50	462.50	1	0	107.50	HG-20240118-010580-L	0	0
20240118	HG-20240118-S-E10	HG	S	HG-20240118-011062-S	REVERSAL-CONFIRMATION	TOKYO	11062	5	-192.50	200.00	0	0	-192.50	HG-20240118-011062-S	0	0
20240118	HG-20240118-S-E11	HG	S	HG-20240118-011520-S	REVERSAL-CONFIRMATION	TOKYO	11520	1	-267.50	275.00	0	0	-267.50	HG-20240118-011520-S	0	0
20240118	HG-20240118-L-E09	HG	L	HG-20240118-011837-L	REVERSAL-CONFIRMATION	TOKYO	11837	2	220.00	350.00	0	0	220.00	HG-20240118-011837-L	0	0
20240118	HG-20240118-S-E12	HG	S	HG-20240118-012170-S	REVERSAL-CONFIRMATION	TOKYO	12170	2	-367.50	375.00	0	0	-367.50	HG-20240118-012170-S	0	0
20240118	HG-20240118-L-E10	HG	L	HG-20240118-012546-L	REVERSAL-CONFIRMATION	TOKYO	12546	1	370.00	200.00	0	0	370.00	HG-20240118-012546-L	0	0
20240118	HG-20240118-L-E11	HG	L	HG-20240118-012683-L	REVERSAL-CONFIRMATION	TOKYO	12683	2	345.00	225.00	0	0	357.50	HG-20240118-012688-L	0	0
20240118	HG-20240118-L-E12	HG	L	HG-20240118-013090-L	REVERSAL-CONFIRMATION	TOKYO	13090	1	332.50	237.50	0	0	332.50	HG-20240118-013090-L	0	0
20240118	HG-20240118-S-E13	HG	S	HG-20240118-013143-S	REVERSAL-CONFIRMATION	TOKYO	13143	1	-367.50	375.00	0	0	-367.50	HG-20240118-013143-S	0	0
20240118	HG-20240118-S-E14	HG	S	HG-20240118-013508-S	REVERSAL-CONFIRMATION	TOKYO	13508	1	-417.50	425.00	0	0	-417.50	HG-20240118-013508-S	0	0
20240118	HG-20240118-S-E15	HG	S	HG-20240118-013709-S	REVERSAL-CONFIRMATION	TOKYO	13709	1	-436.25	443.75	0	0	-436.25	HG-20240118-013709-S	0	0
20240118	HG-20240118-L-E13	HG	L	HG-20240118-014593-L	REVERSAL-CONFIRMATION	TOKYO	14593	1	532.50	37.50	0	0	532.50	HG-20240118-014593-L	0	1
20240118	HG-20240118-S-E16	HG	S	HG-20240118-014762-S	REVERSAL-CONFIRMATION	TOKYO	14762	1	-580.00	587.50	0	0	-580.00	HG-20240118-014762-S	0	0
20240118	HG-20240118-L-E14	HG	L	HG-20240118-015449-L	REVERSAL-CONFIRMATION	TOKYO	15449	4	457.50	50.00	0	0	457.50	HG-20240118-015449-L	0	0
20240118	HG-20240118-S-E17	HG	S	HG-20240118-015991-S	REVERSAL-CONFIRMATION	TOKYO	15991	1	-380.00	387.50	0	0	-380.00	HG-20240118-015991-S	0	0
