# PORT_HL_CENSUS_SPEC.md PORT_HL_CENSUS_SPEC §2-§4 (H/L prediction census) (c) calibration (hl_spec_sha16=ff35394b9f87b891, m1_spec_sha16=62ce5c5edb7857cc)
# params_hash=d11a0a8c9f71645d7ffaa741b2d96bf1e1b8df2dd2f7caf234f01cea3bcd3d36
asset	family	target	side	q	era	n	coverage	nominal	abs_err
SI	P1_SIDE_SETTLE	SESSION_HL	UP	0.95	GATE_2025	258	0.934109	0.950000	0.015891
SI	P1_SIDE_SETTLE	SESSION_HL	DN	0.95	2021	112	0.964286	0.950000	0.014286
SI	P1_SIDE_SETTLE	SESSION_HL	DN	0.95	2022	258	0.945736	0.950000	0.004264
SI	P1_SIDE_SETTLE	SESSION_HL	DN	0.95	2023	257	0.957198	0.950000	0.007198
SI	P1_SIDE_SETTLE	SESSION_HL	DN	0.95	2024	259	0.926641	0.950000	0.023359
SI	P1_SIDE_SETTLE	SESSION_HL	DN	0.95	2025	258	0.945736	0.950000	0.004264
SI	P1_SIDE_SETTLE	SESSION_HL	DN	0.95	FIT_2021_2024	886	0.945824	0.950000	0.004176
SI	P1_SIDE_SETTLE	SESSION_HL	DN	0.95	GATE_2025	258	0.945736	0.950000	0.004264
SI	P1_SIDE_SOPEN	SESSION_HL	UP	0.50	2021	112	0.535714	0.500000	0.035714
SI	P1_SIDE_SOPEN	SESSION_HL	UP	0.50	2022	258	0.403101	0.500000	0.096899
SI	P1_SIDE_SOPEN	SESSION_HL	UP	0.50	2023	257	0.505837	0.500000	0.005837
SI	P1_SIDE_SOPEN	SESSION_HL	UP	0.50	2024	259	0.478764	0.500000	0.021236
SI	P1_SIDE_SOPEN	SESSION_HL	UP	0.50	2025	258	0.453488	0.500000	0.046512
SI	P1_SIDE_SOPEN	SESSION_HL	UP	0.50	FIT_2021_2024	886	0.471783	0.500000	0.028217
SI	P1_SIDE_SOPEN	SESSION_HL	UP	0.50	GATE_2025	258	0.453488	0.500000	0.046512
SI	P1_SIDE_SOPEN	SESSION_HL	DN	0.50	2021	112	0.491071	0.500000	0.008929
SI	P1_SIDE_SOPEN	SESSION_HL	DN	0.50	2022	258	0.434109	0.500000	0.065891
SI	P1_SIDE_SOPEN	SESSION_HL	DN	0.50	2023	257	0.525292	0.500000	0.025292
SI	P1_SIDE_SOPEN	SESSION_HL	DN	0.50	2024	259	0.490347	0.500000	0.009653
SI	P1_SIDE_SOPEN	SESSION_HL	DN	0.50	2025	258	0.523256	0.500000	0.023256
SI	P1_SIDE_SOPEN	SESSION_HL	DN	0.50	FIT_2021_2024	886	0.484199	0.500000	0.015801
SI	P1_SIDE_SOPEN	SESSION_HL	DN	0.50	GATE_2025	258	0.523256	0.500000	0.023256
SI	P1_SIDE_SOPEN	SESSION_HL	UP	0.75	2021	112	0.714286	0.750000	0.035714
SI	P1_SIDE_SOPEN	SESSION_HL	UP	0.75	2022	258	0.658915	0.750000	0.091085
SI	P1_SIDE_SOPEN	SESSION_HL	UP	0.75	2023	257	0.758755	0.750000	0.008755
SI	P1_SIDE_SOPEN	SESSION_HL	UP	0.75	2024	259	0.729730	0.750000	0.020270
SI	P1_SIDE_SOPEN	SESSION_HL	UP	0.75	2025	258	0.693798	0.750000	0.056202
SI	P1_SIDE_SOPEN	SESSION_HL	UP	0.75	FIT_2021_2024	886	0.715576	0.750000	0.034424
SI	P1_SIDE_SOPEN	SESSION_HL	UP	0.75	GATE_2025	258	0.693798	0.750000	0.056202
SI	P1_SIDE_SOPEN	SESSION_HL	DN	0.75	2021	112	0.732143	0.750000	0.017857
SI	P1_SIDE_SOPEN	SESSION_HL	DN	0.75	2022	258	0.674419	0.750000	0.075581
SI	P1_SIDE_SOPEN	SESSION_HL	DN	0.75	2023	257	0.770428	0.750000	0.020428
SI	P1_SIDE_SOPEN	SESSION_HL	DN	0.75	2024	259	0.718147	0.750000	0.031853
SI	P1_SIDE_SOPEN	SESSION_HL	DN	0.75	2025	258	0.755814	0.750000	0.005814
SI	P1_SIDE_SOPEN	SESSION_HL	DN	0.75	FIT_2021_2024	886	0.722348	0.750000	0.027652
SI	P1_SIDE_SOPEN	SESSION_HL	DN	0.75	GATE_2025	258	0.755814	0.750000	0.005814
SI	P1_SIDE_SOPEN	SESSION_HL	UP	0.90	2021	112	0.857143	0.900000	0.042857
SI	P1_SIDE_SOPEN	SESSION_HL	UP	0.90	2022	258	0.837209	0.900000	0.062791
SI	P1_SIDE_SOPEN	SESSION_HL	UP	0.90	2023	257	0.894942	0.900000	0.005058
SI	P1_SIDE_SOPEN	SESSION_HL	UP	0.90	2024	259	0.888031	0.900000	0.011969
SI	P1_SIDE_SOPEN	SESSION_HL	UP	0.90	2025	258	0.868217	0.900000	0.031783
SI	P1_SIDE_SOPEN	SESSION_HL	UP	0.90	FIT_2021_2024	886	0.871332	0.900000	0.028668
SI	P1_SIDE_SOPEN	SESSION_HL	UP	0.90	GATE_2025	258	0.868217	0.900000	0.031783
SI	P1_SIDE_SOPEN	SESSION_HL	DN	0.90	2021	112	0.919643	0.900000	0.019643
SI	P1_SIDE_SOPEN	SESSION_HL	DN	0.90	2022	258	0.868217	0.900000	0.031783
SI	P1_SIDE_SOPEN	SESSION_HL	DN	0.90	2023	257	0.898833	0.900000	0.001167
SI	P1_SIDE_SOPEN	SESSION_HL	DN	0.90	2024	259	0.872587	0.900000	0.027413
SI	P1_SIDE_SOPEN	SESSION_HL	DN	0.90	2025	258	0.906977	0.900000	0.006977
SI	P1_SIDE_SOPEN	SESSION_HL	DN	0.90	FIT_2021_2024	886	0.884876	0.900000	0.015124
SI	P1_SIDE_SOPEN	SESSION_HL	DN	0.90	GATE_2025	258	0.906977	0.900000	0.006977
SI	P1_SIDE_SOPEN	SESSION_HL	UP	0.95	2021	112	0.901786	0.950000	0.048214
SI	P1_SIDE_SOPEN	SESSION_HL	UP	0.95	2022	258	0.906977	0.950000	0.043023
SI	P1_SIDE_SOPEN	SESSION_HL	UP	0.95	2023	257	0.961089	0.950000	0.011089
SI	P1_SIDE_SOPEN	SESSION_HL	UP	0.95	2024	259	0.930502	0.950000	0.019498
SI	P1_SIDE_SOPEN	SESSION_HL	UP	0.95	2025	258	0.934109	0.950000	0.015891
SI	P1_SIDE_SOPEN	SESSION_HL	UP	0.95	FIT_2021_2024	886	0.928894	0.950000	0.021106
SI	P1_SIDE_SOPEN	SESSION_HL	UP	0.95	GATE_2025	258	0.934109	0.950000	0.015891
SI	P1_SIDE_SOPEN	SESSION_HL	DN	0.95	2021	112	0.955357	0.950000	0.005357
SI	P1_SIDE_SOPEN	SESSION_HL	DN	0.95	2022	258	0.941860	0.950000	0.008140
SI	P1_SIDE_SOPEN	SESSION_HL	DN	0.95	2023	257	0.953307	0.950000	0.003307
SI	P1_SIDE_SOPEN	SESSION_HL	DN	0.95	2024	259	0.926641	0.950000	0.023359
SI	P1_SIDE_SOPEN	SESSION_HL	DN	0.95	2025	258	0.957364	0.950000	0.007364
SI	P1_SIDE_SOPEN	SESSION_HL	DN	0.95	FIT_2021_2024	886	0.942438	0.950000	0.007562
SI	P1_SIDE_SOPEN	SESSION_HL	DN	0.95	GATE_2025	258	0.957364	0.950000	0.007364
SI	P1_SIDE_POPEN	PHASE_HL|TOKYO	UP	0.50	2021	112	0.544643	0.500000	0.044643
SI	P1_SIDE_POPEN	PHASE_HL|TOKYO	UP	0.50	2022	258	0.372093	0.500000	0.127907
SI	P1_SIDE_POPEN	PHASE_HL|TOKYO	UP	0.50	2023	257	0.455253	0.500000	0.044747
SI	P1_SIDE_POPEN	PHASE_HL|TOKYO	UP	0.50	2024	259	0.478764	0.500000	0.021236
SI	P1_SIDE_POPEN	PHASE_HL|TOKYO	UP	0.50	2025	258	0.476744	0.500000	0.023256
SI	P1_SIDE_POPEN	PHASE_HL|TOKYO	UP	0.50	FIT_2021_2024	886	0.449210	0.500000	0.050790
SI	P1_SIDE_POPEN	PHASE_HL|TOKYO	UP	0.50	GATE_2025	258	0.476744	0.500000	0.023256
SI	P1_SIDE_POPEN	PHASE_HL|TOKYO	DN	0.50	2021	112	0.392857	0.500000	0.107143
SI	P1_SIDE_POPEN	PHASE_HL|TOKYO	DN	0.50	2022	258	0.310078	0.500000	0.189922
SI	P1_SIDE_POPEN	PHASE_HL|TOKYO	DN	0.50	2023	257	0.498054	0.500000	0.001946
SI	P1_SIDE_POPEN	PHASE_HL|TOKYO	DN	0.50	2024	259	0.420849	0.500000	0.079151
SI	P1_SIDE_POPEN	PHASE_HL|TOKYO	DN	0.50	2025	258	0.507752	0.500000	0.007752
SI	P1_SIDE_POPEN	PHASE_HL|TOKYO	DN	0.50	FIT_2021_2024	886	0.407449	0.500000	0.092551
SI	P1_SIDE_POPEN	PHASE_HL|TOKYO	DN	0.50	GATE_2025	258	0.507752	0.500000	0.007752
SI	P1_SIDE_POPEN	PHASE_HL|TOKYO	UP	0.75	2021	112	0.651786	0.750000	0.098214
SI	P1_SIDE_POPEN	PHASE_HL|TOKYO	UP	0.75	2022	258	0.581395	0.750000	0.168605
SI	P1_SIDE_POPEN	PHASE_HL|TOKYO	UP	0.75	2023	257	0.739300	0.750000	0.010700
