# PORT_HL_CENSUS_SPEC.md PORT_HL_CENSUS_SPEC §2-§4 (H/L prediction census) (hl_spec_sha16=ff35394b9f87b891, m1_spec_sha16=ed126c64eee71c41)
# params_hash=0bfcf7e30aa61b66f82fe08b1f33b845c9bebe172ff2e266362eaca9d5013750
# max(2 x tick_$, 0.05 x ATR14_prev_$) / mult
# family levels displaced +0.5 x ATR14_prev_$ / mult, sign alternating by level index within the family (D-052 null)
# D-054/CC-M1-4: TWO_SIDED and spread_$ <= min(10 x trailing-phase-median spread_$, $500); trailing median = same-phase per-session medians over the 20 STRICTLY PRIOR sessions (>= 5 observations, else only the cap binds); insane seconds typed-excluded, never interpolated
# n_scored = extremes where the family declares a compatible-side level (capture/null denominator); n_extremes = ALL realized extremes of the target (marginal_pp denominator)
asset	family	target	era	n_scored	n_extremes	applicable_frac	n_hit	capture	n_hit_null	null_capture	lift	med_dist_usd	med_dist_atr	n_uncovered_by_kept	n_uncovered_hit	marginal_pp	kept_ledger_cover
SI	P1_BASE_RS	SESSION_HL	GATE_2025	516	516	1.000000	85	0.164729	44	0.085271	1.931818	1006.167710	0.248537	38	0	0.000000	0.926357
SI	P1_SIDE_POPEN	PHASE_HL	2021	672	852	0.788732	442	0.657738	127	0.188988	3.480315	79.233590	0.033272	240	68	0.079812	0.718310
SI	P1_SIDE_POPEN	PHASE_HL	2022	1548	1548	1.000000	1079	0.697028	365	0.235788	2.956164	74.104575	0.028850	104	41	0.026486	0.932817
SI	P1_SIDE_POPEN	PHASE_HL	2023	1542	1542	1.000000	1009	0.654345	237	0.153696	4.257384	81.241179	0.033993	88	27	0.017510	0.942931
SI	P1_SIDE_POPEN	PHASE_HL	2024	1554	1554	1.000000	1034	0.665380	270	0.173745	3.829630	107.241201	0.033899	86	19	0.012227	0.944659
SI	P1_SIDE_POPEN	PHASE_HL	FIT_2021_2024	5316	5496	0.967249	3564	0.670429	999	0.187923	3.567568	86.115547	0.032196	518	155	0.028202	0.905750
SI	P1_SIDE_POPEN	PHASE_HL	GATE_2025	1548	1548	1.000000	984	0.635659	296	0.191214	3.324324	150.524308	0.035366	100	28	0.018088	0.935401
SI	P1_SIDE_SETTLE	SESSION_HL	2021	224	284	0.788732	42	0.187500	13	0.058036	3.230769	322.777072	0.135521	61	4	0.014085	0.785211
SI	P1_SIDE_SETTLE	SESSION_HL	2022	516	516	1.000000	107	0.207364	38	0.073643	2.815789	313.129713	0.121601	23	1	0.001938	0.955426
SI	P1_SIDE_SETTLE	SESSION_HL	2023	514	514	1.000000	95	0.184825	30	0.058366	3.166667	339.527119	0.140560	41	2	0.003891	0.920233
SI	P1_SIDE_SETTLE	SESSION_HL	2024	518	518	1.000000	77	0.148649	34	0.065637	2.264706	471.477746	0.147184	23	0	0.000000	0.955598
SI	P1_SIDE_SETTLE	SESSION_HL	FIT_2021_2024	1772	1832	0.967249	321	0.181151	115	0.064898	2.791304	360.776624	0.135926	148	7	0.003821	0.919214
SI	P1_SIDE_SETTLE	SESSION_HL	GATE_2025	516	516	1.000000	87	0.168605	33	0.063953	2.636364	656.461294	0.156455	38	5	0.009690	0.926357
SI	P1_SIDE_SOPEN	SESSION_HL	2021	224	284	0.788732	42	0.187500	13	0.058036	3.230769	333.546361	0.140138	61	3	0.010563	0.785211
SI	P1_SIDE_SOPEN	SESSION_HL	2022	516	516	1.000000	103	0.199612	45	0.087209	2.288889	332.629645	0.125861	23	1	0.001938	0.955426
SI	P1_SIDE_SOPEN	SESSION_HL	2023	514	514	1.000000	84	0.163424	34	0.066148	2.470588	323.862441	0.133450	41	1	0.001946	0.920233
SI	P1_SIDE_SOPEN	SESSION_HL	2024	518	518	1.000000	85	0.164093	43	0.083012	1.976744	459.128749	0.140725	23	1	0.001931	0.955598
SI	P1_SIDE_SOPEN	SESSION_HL	FIT_2021_2024	1772	1832	0.967249	314	0.177201	135	0.076185	2.325926	357.355606	0.133977	148	6	0.003275	0.919214
SI	P1_SIDE_SOPEN	SESSION_HL	GATE_2025	516	516	1.000000	80	0.155039	37	0.071705	2.162162	639.246134	0.150880	38	4	0.007752	0.926357
SI	P2_LOGIT	SESSION_HL	2022	260	516	0.503876	21	0.080769	18	0.069231	1.166667	782.197810	0.301426	23	0	0.000000	0.955426
SI	P2_LOGIT	SESSION_HL	2023	514	514	1.000000	59	0.114786	21	0.040856	2.809524	645.883021	0.267083	41	1	0.001946	0.920233
SI	P2_LOGIT	SESSION_HL	2024	518	518	1.000000	41	0.079151	22	0.042471	1.863636	991.627192	0.314426	23	0	0.000000	0.955598
SI	P2_LOGIT	SESSION_HL	FIT_2021_2024	1292	1832	0.705240	121	0.093653	61	0.047214	1.983607	791.459159	0.291827	148	1	0.000546	0.919214
SI	P2_LOGIT	SESSION_HL	GATE_2025	516	516	1.000000	48	0.093023	26	0.050388	1.846154	1338.148051	0.314967	38	0	0.000000	0.926357
SI	P2_OLS	SESSION_HL	2022	260	516	0.503876	20	0.076923	21	0.080769	0.952381	822.255328	0.309471	23	0	0.000000	0.955426
SI	P2_OLS	SESSION_HL	2023	514	514	1.000000	59	0.114786	20	0.038911	2.950000	657.119416	0.267273	41	0	0.000000	0.920233
SI	P2_OLS	SESSION_HL	2024	518	518	1.000000	43	0.083012	20	0.038610	2.150000	963.102157	0.304737	23	0	0.000000	0.955598
SI	P2_OLS	SESSION_HL	FIT_2021_2024	1292	1832	0.705240	122	0.094427	61	0.047214	2.000000	789.903372	0.290090	148	0	0.000000	0.919214
