# PORT_M1_SPEC.md §4 level ledger (m1_spec_sha16=ce0a8ca16e342cd7)
# params_hash=04108ae064a02a61b3e202aee92f7c466519aa6e2b4a44d0e150006767fde9cd
# touch outcomes per level family (§4 last_test_outcome)
asset	family	outcome	n_touches
HG	DEV_POC	BREAK	44
HG	DEV_POC	NONE	4971
HG	DEV_POC	RECLAIM	2562
HG	DEV_POC	REJECT	3086
HG	FVOL_BAND	BREAK	1499
HG	FVOL_BAND	NONE	20135
HG	FVOL_BAND	RECLAIM	9219
HG	FVOL_BAND	REJECT	22622
HG	FVOL_LADDER	BREAK	1633
HG	FVOL_LADDER	NONE	20157
HG	FVOL_LADDER	RECLAIM	9424
HG	FVOL_LADDER	REJECT	23086
HG	FVOL_LADDER_RS	BREAK	1657
HG	FVOL_LADDER_RS	NONE	20132
HG	FVOL_LADDER_RS	RECLAIM	9416
HG	FVOL_LADDER_RS	REJECT	22982
HG	NDAY	BREAK	393
HG	NDAY	NONE	4786
HG	NDAY	RECLAIM	2430
HG	NDAY	REJECT	5085
HG	PHASE_HL	BREAK	1723
HG	PHASE_HL	NONE	28711
HG	PHASE_HL	RECLAIM	11473
HG	PHASE_HL	REJECT	27249
HG	PRIOR_DAY	BREAK	256
HG	PRIOR_DAY	NONE	4417
HG	PRIOR_DAY	RECLAIM	1737
HG	PRIOR_DAY	REJECT	4009
HG	PRIOR_WEEK	BREAK	58
HG	PRIOR_WEEK	NONE	946
HG	PRIOR_WEEK	RECLAIM	427
HG	PRIOR_WEEK	REJECT	973
HG	PROFILE	BREAK	1939
HG	PROFILE	NONE	39792
HG	PROFILE	RECLAIM	13623
HG	PROFILE	REJECT	35311
HG	ROUND	BREAK	370
HG	ROUND	NONE	6132
HG	ROUND	RECLAIM	2751
HG	ROUND	REJECT	6541
HG	VWAP	BREAK	1401
HG	VWAP	NONE	43862
HG	VWAP	RECLAIM	13124
HG	VWAP	REJECT	42096
NKD	DEV_POC	BREAK	63
NKD	DEV_POC	NONE	4971
NKD	DEV_POC	RECLAIM	2261
NKD	DEV_POC	REJECT	2655
NKD	FVOL_BAND	BREAK	1197
NKD	FVOL_BAND	NONE	24096
NKD	FVOL_BAND	RECLAIM	6836
NKD	FVOL_BAND	REJECT	19099
NKD	FVOL_LADDER	BREAK	1354
NKD	FVOL_LADDER	NONE	24770
NKD	FVOL_LADDER	RECLAIM	7318
NKD	FVOL_LADDER	REJECT	19973
NKD	FVOL_LADDER_RS	BREAK	1289
NKD	FVOL_LADDER_RS	NONE	24666
NKD	FVOL_LADDER_RS	RECLAIM	7227
NKD	FVOL_LADDER_RS	REJECT	19816
NKD	NDAY	BREAK	351
NKD	NDAY	NONE	5268
NKD	NDAY	RECLAIM	2137
NKD	NDAY	REJECT	4743
NKD	PHASE_HL	BREAK	1625
NKD	PHASE_HL	NONE	30525
NKD	PHASE_HL	RECLAIM	10372
NKD	PHASE_HL	REJECT	24983
NKD	PRIOR_DAY	BREAK	238
NKD	PRIOR_DAY	NONE	4391
NKD	PRIOR_DAY	RECLAIM	1517
NKD	PRIOR_DAY	REJECT	3626
NKD	PRIOR_WEEK	BREAK	57
NKD	PRIOR_WEEK	NONE	945
NKD	PRIOR_WEEK	RECLAIM	356
NKD	PRIOR_WEEK	REJECT	844
NKD	PROFILE	BREAK	1665
NKD	PROFILE	NONE	35002
NKD	PROFILE	RECLAIM	11279
NKD	PROFILE	REJECT	28680
NKD	ROUND	BREAK	1132
NKD	ROUND	NONE	21157
NKD	ROUND	RECLAIM	7731
NKD	ROUND	REJECT	19014
NKD	VWAP	BREAK	973
NKD	VWAP	NONE	45610
NKD	VWAP	RECLAIM	10064
NKD	VWAP	REJECT	33929
SI	DEV_POC	BREAK	46
SI	DEV_POC	NONE	4963
SI	DEV_POC	RECLAIM	2175
SI	DEV_POC	REJECT	2568
SI	FVOL_BAND	BREAK	1682
SI	FVOL_BAND	NONE	19515
SI	FVOL_BAND	RECLAIM	9689
SI	FVOL_BAND	REJECT	22846
SI	FVOL_LADDER	BREAK	1955
SI	FVOL_LADDER	NONE	21293
SI	FVOL_LADDER	RECLAIM	10767
SI	FVOL_LADDER	REJECT	25504
SI	FVOL_LADDER_RS	BREAK	1969
SI	FVOL_LADDER_RS	NONE	21276
SI	FVOL_LADDER_RS	RECLAIM	10891
SI	FVOL_LADDER_RS	REJECT	25457
SI	NDAY	BREAK	416
SI	NDAY	NONE	4674
SI	NDAY	RECLAIM	2264
SI	NDAY	REJECT	5072
SI	PHASE_HL	BREAK	1776
SI	PHASE_HL	NONE	26589
SI	PHASE_HL	RECLAIM	10575
SI	PHASE_HL	REJECT	24489
SI	PRIOR_DAY	BREAK	221
SI	PRIOR_DAY	NONE	4339
SI	PRIOR_DAY	RECLAIM	1500
SI	PRIOR_DAY	REJECT	3689
SI	PRIOR_WEEK	BREAK	68
SI	PRIOR_WEEK	NONE	804
SI	PRIOR_WEEK	RECLAIM	376
SI	PRIOR_WEEK	REJECT	843
SI	PROFILE	BREAK	1636
SI	PROFILE	NONE	32473
SI	PROFILE	RECLAIM	10524
SI	PROFILE	REJECT	27614
SI	ROUND	BREAK	707
SI	ROUND	NONE	9744
SI	ROUND	RECLAIM	4464
SI	ROUND	REJECT	10595
SI	VWAP	BREAK	1378
SI	VWAP	NONE	44174
SI	VWAP	RECLAIM	12521
SI	VWAP	REJECT	39955
