# PORT_M2_SHEETS_SPEC.md §3 era/block definitions (P-M2b index) (spec_sha16=c45371dbd6ad2995)
# params_hash=ea59e5c1469337eac4bc18b0295ac4035ebc347c6440cb304c903e9ea6c82bdc
# block boundary is a DATE shared by all assets (day-complete, D-036)
era	asset	block	n_sessions	n_sessions_eligible	n_candidates	n_candidates_eligible	first_date8	last_date8	boundary_date8
E1	SI	STUDY	79	79	31500	31500	20210701	20211019	20211019
E1	SI	BLIND	52	52	19416	19416	20211020	20211231	20211019
E1	HG	STUDY	79	79	31376	31376	20210701	20211019	20211019
E1	HG	BLIND	52	52	16271	16271	20211020	20211231	20211019
E1	NKD	STUDY	79	79	32226	32226	20210701	20211019	20211019
E1	NKD	BLIND	52	52	19887	19887	20211020	20211231	20211019
E2	SI	STUDY	77	77	37416	37416	20220103	20220420	20220420
E2	SI	BLIND	51	51	21922	21922	20220421	20220630	20220420
E2	HG	STUDY	77	77	34637	34637	20220103	20220420	20220420
E2	HG	BLIND	51	51	21662	21662	20220421	20220630	20220420
E2	NKD	STUDY	77	77	36648	36648	20220103	20220420	20220420
E2	NKD	BLIND	51	51	23277	23277	20220421	20220630	20220420
